#{"t_start": 1545883371.7306204, "gym_version": "0.10.8", "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.790309
-500.0,500,4.757673
-333.0,334,6.031536
-242.0,243,7.002833
-181.0,182,7.620737
-221.0,222,8.35653
-181.0,182,9.118896
-196.0,197,9.765244
-196.0,197,10.409519
-164.0,165,11.16482
-116.0,117,11.552153
-159.0,160,12.08442
-133.0,134,12.747576
-118.0,119,13.183288
-132.0,133,13.623538
-193.0,194,14.257115
-110.0,111,14.796555
-102.0,103,15.1331
-118.0,119,15.521527
-90.0,91,15.82208
-120.0,121,16.377661
-104.0,105,16.72478
-97.0,98,17.042452
-116.0,117,17.420401
-91.0,92,17.72794
-91.0,92,18.209462
-108.0,109,18.569322
-93.0,94,18.883703
-103.0,104,19.221622
-122.0,123,19.635452
-115.0,116,20.200754
-102.0,103,20.554856
-109.0,110,20.967277
-129.0,130,21.409774
-91.0,92,21.753356
-94.0,95,22.337149
-89.0,90,22.713145
-127.0,128,23.308897
-96.0,97,24.009139
-103.0,104,24.467415
-86.0,87,25.140701
-86.0,87,25.66644
-86.0,87,25.980721
-86.0,87,26.271039
-104.0,105,26.630709
-90.0,91,27.115096
-102.0,103,27.473082
-98.0,99,27.831536
-135.0,136,28.297112
-86.0,87,28.593279
-120.0,121,29.189239
-104.0,105,29.538974
-97.0,98,29.859623
-101.0,102,30.204418
-92.0,93,30.532956
-94.0,95,31.041166
-84.0,85,31.330399
-158.0,159,31.87496
-104.0,105,32.234711
-105.0,106,32.587477
-104.0,105,33.112786
-86.0,87,33.399565
-87.0,88,33.705558
-77.0,78,33.988577
-85.0,86,34.285571
-79.0,80,34.573956
-153.0,154,35.248828
-101.0,102,35.585191
-186.0,187,36.203736
-97.0,98,36.69121
-156.0,157,37.221822
-84.0,85,37.511733
-79.0,80,37.780354
-76.0,77,38.034815
-81.0,82,38.303191
-97.0,98,38.806805
-76.0,77,39.061234
-88.0,89,39.359664
-91.0,92,39.669891
-61.0,62,39.876499
-82.0,83,40.14802
-70.0,71,40.548359
-81.0,82,40.818699
-98.0,99,41.148761
-98.0,99,41.47463
-92.0,93,41.782089
-78.0,79,42.04529
-74.0,75,42.460162
-88.0,89,42.757221
-79.0,80,43.019404
-90.0,91,43.320396
-75.0,76,43.5667
-72.0,73,43.854129
-82.0,83,44.350092
-131.0,132,44.799193
-87.0,88,45.092034
-63.0,64,45.305795
-83.0,84,45.588432
-71.0,72,45.838079
-74.0,75,46.26322
-74.0,75,46.512985
-73.0,74,46.755357
-82.0,83,47.022246
-70.0,71,47.260725
-94.0,95,47.578761
-71.0,72,47.814681
-70.0,71,48.216663
-71.0,72,48.45132
-72.0,73,48.69589
-62.0,63,48.909668
-63.0,64,49.118182
-75.0,76,49.360693
-83.0,84,49.632128
-80.0,81,50.081041
-70.0,71,50.321463
-79.0,80,50.587065
-101.0,102,50.926221
-78.0,79,51.18362
-84.0,85,51.462398
-74.0,75,51.881238
-74.0,75,52.125616
-71.0,72,52.360001
-70.0,71,52.591492
-68.0,69,52.821249
-71.0,72,53.059968
-84.0,85,53.341404
-64.0,65,53.732385
-62.0,63,53.939014
-63.0,64,54.150478
-63.0,64,54.359275
-70.0,71,54.601331
-92.0,93,54.968954
-79.0,80,55.252827
-87.0,88,55.713518
-78.0,79,55.972034
-63.0,64,56.181988
-71.0,72,56.415607
-62.0,63,56.625655
-70.0,71,56.861229
-71.0,72,57.09786
-70.0,71,57.500781
-93.0,94,57.812501
-77.0,78,58.065497
-62.0,63,58.270799
-81.0,82,58.535142
-99.0,100,58.862983
-72.0,73,59.267161
-62.0,63,59.474909
-292.0,293,60.445895
-62.0,63,60.655264
-107.0,108,61.178244
-61.0,62,61.37925
-71.0,72,61.610526
-70.0,71,61.839871
-63.0,64,62.057027
-86.0,87,62.356244
-63.0,64,62.568653
-69.0,70,62.972423
-62.0,63,63.184243
-88.0,89,63.478438
-91.0,92,63.793156
-63.0,64,64.00424
-142.0,143,64.479981
-71.0,72,64.899646
-82.0,83,65.171336
-72.0,73,65.415246
-66.0,67,65.656691
-93.0,94,66.056691
-73.0,74,66.31978
-72.0,73,66.555907
-72.0,73,66.965701
-77.0,78,67.220431
