#{"t_start": 1545883371.8018432, "gym_version": "0.10.8", "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.7203
-500.0,500,4.686532
-362.0,363,6.052418
-244.0,245,7.032653
-233.0,234,7.829418
-274.0,275,8.900011
-177.0,178,9.47634
-207.0,208,10.162332
-193.0,194,11.008988
-138.0,139,11.471009
-123.0,124,11.885847
-126.0,127,12.485072
-182.0,183,13.172501
-142.0,143,13.642859
-143.0,144,14.113348
-119.0,120,14.681394
-85.0,86,14.962773
-139.0,140,15.422319
-99.0,100,15.749697
-131.0,132,16.341648
-117.0,118,16.732036
-117.0,118,17.114246
-112.0,113,17.480444
-127.0,128,18.08549
-113.0,114,18.461736
-108.0,109,18.826362
-92.0,93,19.128166
-124.0,125,19.547164
-88.0,89,20.023967
-87.0,88,20.321775
-112.0,113,20.722333
-103.0,104,21.103115
-86.0,87,21.395124
-113.0,114,22.019369
-78.0,79,22.360804
-100.0,101,22.774897
-123.0,124,23.466892
-104.0,105,24.092787
-94.0,95,24.744295
-85.0,86,25.226232
-86.0,87,25.714074
-82.0,83,25.987688
-103.0,104,26.345627
-90.0,91,26.65193
-87.0,88,27.124913
-81.0,82,27.411174
-85.0,86,27.7182
-121.0,122,28.140241
-94.0,95,28.468881
-77.0,78,28.735988
-80.0,81,29.190952
-99.0,100,29.523194
-128.0,129,29.951788
-137.0,138,30.429588
-116.0,117,31.015481
-105.0,106,31.372327
-88.0,89,31.682735
-84.0,85,31.967185
-89.0,90,32.276243
-85.0,86,32.563597
-83.0,84,33.019468
-80.0,81,33.284836
-83.0,84,33.573883
-82.0,83,33.878171
-88.0,89,34.176738
-79.0,80,34.473129
-83.0,84,34.919809
-94.0,95,35.229568
-74.0,75,35.479506
-76.0,77,35.734838
-91.0,92,36.035752
-106.0,107,36.385375
-82.0,83,36.831124
-85.0,86,37.122528
-100.0,101,37.467591
-71.0,72,37.709522
-97.0,98,38.034241
-77.0,78,38.287776
-90.0,91,38.768265
-74.0,75,39.016166
-81.0,82,39.291926
-70.0,71,39.528781
-133.0,134,39.976073
-78.0,79,40.399513
-70.0,71,40.635988
-74.0,75,40.883385
-124.0,125,41.29961
-81.0,82,41.571686
-70.0,71,41.805462
-92.0,93,42.279248
-77.0,78,42.541137
-78.0,79,42.802228
-103.0,104,43.144587
-76.0,77,43.39351
-76.0,77,43.675965
-72.0,73,43.965416
-102.0,103,44.501733
-78.0,79,44.772217
-90.0,91,45.075231
-75.0,76,45.329961
-73.0,74,45.582429
-72.0,73,45.831326
-63.0,64,46.218295
-88.0,89,46.51543
-69.0,70,46.742822
-127.0,128,47.163437
-63.0,64,47.376738
-93.0,94,47.687707
-77.0,78,48.113557
-75.0,76,48.360318
-92.0,93,48.669793
-97.0,98,48.998963
-75.0,76,49.24137
-76.0,77,49.488374
-82.0,83,49.943153
-62.0,63,50.156121
-62.0,63,50.36563
-117.0,118,50.759091
-92.0,93,51.062675
-72.0,73,51.302884
-76.0,77,51.726449
-62.0,63,51.935963
-72.0,73,52.172682
-86.0,87,52.455342
-94.0,95,52.769867
-73.0,74,53.014144
-94.0,95,53.331896
-78.0,79,53.763304
-76.0,77,54.016662
-70.0,71,54.253265
-138.0,139,54.761778
-78.0,79,55.05918
-81.0,82,55.495387
-62.0,63,55.708188
-92.0,93,56.012081
-87.0,88,56.300811
-70.0,71,56.533942
-91.0,92,56.840447
-83.0,84,57.113461
-111.0,112,57.655694
-69.0,70,57.880706
-61.0,62,58.085093
-70.0,71,58.314385
-63.0,64,58.521656
-71.0,72,58.761134
-95.0,96,59.239269
-92.0,93,59.548906
-83.0,84,59.827714
-70.0,71,60.061778
-62.0,63,60.269177
-70.0,71,60.505152
-62.0,63,60.712551
-68.0,69,61.107202
-109.0,110,61.461246
-78.0,79,61.716887
-87.0,88,62.012547
-83.0,84,62.300896
-86.0,87,62.592123
-100.0,101,63.100168
-122.0,123,63.507115
-90.0,91,63.817176
-132.0,133,64.26201
-70.0,71,64.494282
-64.0,65,64.891074
-63.0,64,65.100326
-76.0,77,65.358511
-98.0,99,65.745766
-71.0,72,66.03553
-89.0,90,66.344126
-71.0,72,66.581012
-71.0,72,66.985586
-79.0,80,67.250943
-63.0,64,67.466168
-71.0,72,67.701235
-93.0,94,68.02145
-70.0,71,68.269395
-96.0,97,68.764551
-71.0,72,69.004966
-87.0,88,69.296274
-63.0,64,69.502415
-91.0,92,69.808608
-62.0,63,70.014723
-61.0,62,70.218159
-70.0,71,70.618388
-84.0,85,70.898096
