#{"t_start": 1545679395.029791, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
50.366773,52,1.862601
61.734169,57,2.097649
47.355691,60,2.361027
46.402322,54,2.592429
49.570239,54,2.82008
52.181739,52,3.035682
65.660897,80,3.3634
48.811306,56,3.597819
76.971496,68,4.176552
48.532604,54,4.396366
50.802441,56,4.620144
49.05047,58,4.862105
47.634585,52,5.073132
47.005888,51,5.282745
50.880126,53,5.500804
42.119978,48,5.696091
53.815601,56,5.92463
68.774926,79,6.405389
63.424164,64,6.667907
51.657209,59,6.912379
43.952103,51,7.120235
50.954978,54,7.343135
44.40247,47,7.538537
55.101048,57,7.77372
48.341856,53,7.996578
56.93282,70,8.294664
46.126251,48,8.658478
58.785942,59,8.901036
69.40859,80,9.231617
68.520027,61,9.487985
45.035015,52,9.707347
61.966017,78,10.027116
46.728929,49,10.229882
50.170053,51,10.446506
60.449495,71,10.743342
47.159417,50,11.113044
46.155717,49,11.322549
45.781591,49,11.529591
67.795335,62,11.782845
45.683057,51,11.997131
54.636437,54,12.220828
49.595051,54,12.451166
56.536194,62,12.719457
55.068277,62,12.972468
55.695849,62,13.393664
47.765294,56,13.622949
47.691362,52,13.840151
51.379061,52,14.056132
55.047895,59,14.303505
47.88988,55,14.531648
66.925313,69,14.821823
51.836322,52,15.038415
43.326386,47,15.233273
56.13143,57,15.632906
45.732342,50,15.841309
47.164161,49,16.044456
53.929244,62,16.299913
57.940587,58,16.537956
51.725614,52,16.751815
48.040255,50,16.960784
46.959692,51,17.17218
55.973722,55,17.398925
47.835817,51,17.606415
45.075251,47,17.959186
55.954586,55,18.182402
69.807819,73,18.485115
67.817577,67,18.761462
48.484771,51,18.974126
52.480952,56,19.209276
47.902791,52,19.423218
46.98705,58,19.664569
50.469395,51,19.877208
66.402335,65,20.307349
49.656523,52,20.533332
51.803088,52,20.753004
49.687402,51,20.963274
48.096256,53,21.18351
50.057098,52,21.399764
51.334886,54,21.61965
50.547189,52,21.837256
47.181531,53,22.058628
50.211805,51,22.430433
65.000129,59,22.676292
53.405972,53,22.897336
56.211906,57,23.130289
53.1226,53,23.363002
43.731972,49,23.572145
62.217236,58,23.814488
47.399222,49,24.020689
42.624608,49,24.224135
51.027477,52,24.438895
48.014143,50,24.81041
45.150324,50,25.022356
48.168408,52,25.239272
50.250107,51,25.4518
48.244449,54,25.675536
61.764314,66,25.946585
48.473189,51,26.159045
45.770775,51,26.372414
56.12733,56,26.603515
74.15035,84,27.112505
44.920365,50,27.319345
58.786749,59,27.567076
44.127726,47,27.763484
44.686852,50,27.96914
45.255467,50,28.17801
51.695181,54,28.402258
56.818345,58,28.643606
47.783845,49,28.847414
50.693404,52,29.066971
51.740557,52,29.448207
56.31743,57,29.68501
49.774306,52,29.899938
51.618247,52,30.114771
51.390938,53,30.332805
51.865674,52,30.546448
93.374906,78,30.869755
48.40709,50,31.075607
56.930794,58,31.315854
47.038912,50,31.696039
49.089626,52,31.913199
56.50762,54,32.136308
57.423306,56,32.371472
52.14352,57,32.60676
46.693662,50,32.810543
47.890698,50,33.016131
51.325568,53,33.234078
55.537735,57,33.479516
51.230986,53,33.862576
51.110159,53,34.081201
96.468557,79,34.404455
61.940485,63,34.665636
54.202784,55,34.892276
55.832622,57,35.124486
50.465905,55,35.349744
58.0158,63,35.611236
67.159194,76,35.924273
69.145024,66,36.360261
68.428707,62,36.616884
56.645443,55,36.841505
58.745054,57,37.077586
54.034058,59,37.319176
52.412036,53,37.5375
59.620764,57,37.771882
51.290584,51,37.9823
57.022331,59,38.225083
84.943311,77,38.70029
71.069834,64,38.961944
57.081267,56,39.189173
52.549365,52,39.403961
54.219611,55,39.628803
65.393109,59,39.871971
55.554091,54,40.096068
132.346879,103,40.680694
58.638268,73,40.983391
56.714957,55,41.211236
67.668775,68,41.497485
81.510755,70,41.785871
71.200364,75,42.096288
82.127171,72,42.39123
54.813354,54,42.614957
56.931987,55,43.00343
63.538547,66,43.275318
61.194111,59,43.537843
105.33938,83,43.882486
158.495335,110,44.330486
64.771232,61,44.584757
82.878857,72,44.884569
80.642047,71,45.349254
77.390193,69,45.635243
112.747688,82,45.972447
112.724536,90,46.346995
57.375901,58,46.589625
62.728669,61,46.843802
98.825265,80,47.174561
50.149239,50,47.544551
103.931443,80,47.872071
53.741131,56,48.104172
56.569963,57,48.339478
73.54365,68,48.625503
88.382139,75,48.938676
87.280631,71,49.23889
106.798254,80,49.569425
86.879007,73,50.031401
79.594693,62,50.283356
64.868562,59,50.530898
137.268327,94,50.919392
156.874819,119,51.407071
147.738018,104,51.839031
80.408137,63,52.259395
215.941164,145,52.863985
99.013391,81,53.203422
103.448943,79,53.547754
62.275548,59,53.793347
58.215503,55,54.02081
82.122945,70,54.469626
62.908124,59,54.709602
116.616269,90,55.078578
46.125977,50,55.28302
146.277763,110,55.73126
79.404072,62,55.984908
71.725473,64,56.248889
99.303288,79,56.736558
118.406364,104,57.161382
90.267759,68,57.440536
117.552542,94,57.823536
89.984804,75,58.132138
96.029142,71,58.424253
109.828289,91,58.95424
63.974031,60,59.196804
148.80383,106,59.630522
106.58365,78,59.943527
74.211416,67,60.21394
69.97235,65,60.480468
77.663075,68,60.756841
124.704792,92,61.284992
83.17664,68,61.568591
91.258858,75,61.886828
99.159492,79,62.218802
147.103177,109,62.677355
158.44139,102,63.09857
80.923002,72,63.566435
83.479774,70,63.853559
106.228772,77,64.169144
67.203883,63,64.428779
65.940571,62,64.685405
124.309452,96,65.080051
81.859769,64,65.341898
183.217096,118,65.99035
64.586873,60,66.239182
63.599397,61,66.49203
136.926218,103,67.466658
87.566512,74,68.585499
213.735093,129,70.540692
160.980289,117,71.611647
117.010662,97,72.004655
78.537431,69,72.283246
56.912157,56,72.511233
166.838153,117,72.98278
86.81163,75,73.286782
112.124413,80,73.786177
97.91778,74,74.088409
58.899934,59,74.330981
138.362201,101,74.741104
93.029622,79,75.064059
65.599457,61,75.310833
92.929267,77,75.791801
104.780438,85,76.138304
80.501995,63,76.395561
90.088444,68,76.674331
103.830409,76,76.987386
84.345899,72,77.285116
112.169491,80,77.620597
111.829204,91,78.151551
81.891341,66,78.424663
123.78847,101,78.840434
152.660826,105,79.282179
82.0222,71,79.580502
80.192742,70,79.872211
59.106963,58,80.276909
87.742104,76,80.58774
85.510372,66,80.860166
98.313425,74,81.163904
64.790017,60,81.409764
78.121814,61,81.661843
80.110196,70,81.947192
186.328628,121,82.601014
56.182224,56,82.821877
110.619728,79,83.145381
76.876602,66,83.433264
80.439944,63,83.694686
88.152991,67,83.967205
117.727805,87,84.316138
85.266344,66,84.580251
108.594772,82,85.080747
62.133187,59,85.319101
