#{"t_start": 1545678021.535024, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
37.871164,39,0.405038
67.82975,65,0.670335
33.398205,44,0.848943
54.408481,58,1.08463
38.879931,52,1.293771
48.284021,49,1.491745
35.538678,40,1.652966
48.738565,46,1.841883
34.610856,44,2.02256
36.26314,40,2.182678
36.2613,43,2.65568
37.785797,42,2.837632
68.030991,60,3.089012
33.897405,46,3.275414
36.409473,45,3.458382
44.294298,43,3.632899
38.741355,44,3.81424
37.167138,44,3.993409
44.03636,45,4.177917
51.017795,57,4.411544
43.250395,47,4.605365
39.313151,51,4.976695
43.99373,49,5.172714
48.781764,49,5.375649
35.630498,53,5.595813
36.90123,40,5.762836
59.725043,61,6.017704
42.340647,54,6.242973
44.637089,45,6.432219
33.443215,38,6.593185
37.345588,45,6.779202
71.682016,63,7.199749
42.134014,44,7.383263
42.964218,49,7.586946
43.04216,45,7.771314
43.495547,46,7.962352
47.905081,47,8.154681
52.939446,48,8.35298
38.391344,40,8.518469
35.919232,51,8.733893
48.512003,51,8.944595
38.81655,42,9.116323
49.717391,48,9.47501
37.332038,49,9.678791
40.469349,41,9.85274
38.282118,47,10.046659
55.425529,59,10.288738
77.967442,72,10.595772
51.643396,48,10.79653
40.909134,51,11.009203
78.625234,59,11.249977
37.078521,42,11.423948
45.391316,50,11.790168
45.047511,47,11.988176
69.13857,59,12.235528
46.183127,47,12.430039
49.644547,50,12.637133
57.154359,63,12.909513
71.834841,65,13.175132
48.768195,57,13.409009
41.271098,44,13.587064
51.193254,49,13.788691
49.939834,46,14.134
39.447409,43,14.313602
42.650813,45,14.500162
41.654528,47,14.695077
108.226956,89,15.068022
41.702318,42,15.236732
40.376284,44,15.416811
33.370213,40,15.579706
62.695519,54,15.79975
40.096693,44,15.98149
33.997782,40,16.307161
79.346347,67,16.58101
61.517588,56,16.81434
41.100829,46,17.00786
46.498711,52,17.224873
171.27087,102,17.648519
35.514285,50,17.855945
34.859322,48,18.058326
37.880773,46,18.248305
85.615574,75,18.716035
64.483061,62,18.966692
37.295737,42,19.140255
36.3195,41,19.306758
51.761678,48,19.5049
68.379292,62,19.761357
38.882976,47,19.952924
152.921072,98,20.350466
67.221746,54,20.570851
55.417439,59,20.973753
48.647261,48,21.173525
76.927391,64,21.44167
46.404577,47,21.635212
54.649938,62,21.893481
60.068189,56,22.120654
125.539115,83,22.462749
124.877915,83,22.80243
60.489858,56,23.204991
45.883911,51,23.412912
121.929717,81,23.741672
94.425344,69,24.032939
77.464772,62,24.285085
56.331379,55,24.51203
66.404596,55,24.73629
72.209346,68,25.017182
93.552678,72,25.470436
114.396592,85,25.824049
53.433921,55,26.048014
150.472557,94,26.429023
68.358862,60,26.678232
93.540157,71,26.978015
107.526012,78,27.296027
38.777082,42,27.468181
80.936979,66,27.89691
59.121491,56,28.129202
69.702337,62,28.381983
34.86919,41,28.547912
68.630759,63,28.805037
56.997159,54,29.022705
56.132066,61,29.271921
63.241222,58,29.510013
51.368252,50,29.713188
38.437919,46,30.071033
73.03967,62,30.324621
75.497932,60,30.569454
76.645903,61,30.820014
62.024728,53,31.036328
82.848119,65,31.301634
76.896075,58,31.545811
45.678981,43,31.722097
70.74361,61,31.971391
126.026347,83,32.472281
82.339871,61,32.721505
81.893748,65,33.007543
80.802589,64,33.271623
105.196517,74,33.576452
69.117123,61,33.832224
125.005596,82,34.175558
82.322038,66,34.609223
70.609945,54,34.831851
52.315565,49,35.034284
137.320665,88,35.398913
84.636817,69,35.682944
89.457411,67,35.963265
81.474401,66,36.238039
39.192827,39,36.400428
78.524905,66,36.835564
80.147592,60,37.079297
104.229665,75,37.385726
47.686189,44,37.566063
138.183082,87,37.918026
78.266791,85,38.26316
65.609975,55,38.490368
91.327952,65,38.762699
84.221503,64,39.191728
80.921488,59,39.433715
94.161544,76,39.744807
90.817983,65,40.011294
94.587827,75,40.317239
63.773705,57,40.553043
79.822362,68,40.832041
89.688188,65,41.099018
78.36554,59,41.500323
73.861296,64,41.764089
135.736669,86,42.116458
57.855418,51,42.323586
161.438498,110,42.770579
49.215845,51,42.981017
59.558169,62,43.23212
70.109412,58,43.637678
122.331965,83,43.973259
71.706489,54,44.190989
65.96596,62,44.445061
84.369182,66,44.709177
65.802164,56,44.941162
131.739348,83,45.2758
121.079744,83,45.62073
72.356532,63,46.040919
81.882522,64,46.304158
98.497127,72,46.596149
76.120379,62,46.848525
75.409456,61,47.099815
79.541677,65,47.367354
80.374845,71,47.657304
78.735568,68,48.098742
92.924387,68,48.374566
70.718427,53,48.589393
87.848714,65,48.852357
83.155856,67,49.126736
76.775996,69,49.409413
77.131766,66,49.676453
79.196698,65,49.942566
66.406035,50,50.30802
72.953114,60,50.551484
176.295137,128,51.080504
73.460189,62,51.329741
67.97845,66,51.594481
104.389981,79,51.917796
57.852785,53,52.132911
80.959015,58,52.371708
141.225617,91,52.904836
180.047184,102,53.319514
106.15767,80,53.654917
60.357346,59,53.906942
119.759112,85,54.259084
115.683016,88,54.618464
108.947156,78,55.099018
74.254132,56,55.324848
98.480693,72,55.616145
74.956957,65,55.882128
79.308202,66,56.149942
51.972379,58,56.387434
98.457027,74,56.687141
84.702462,65,57.113098
130.669811,93,57.491136
71.640876,60,57.739635
98.079509,76,58.04762
123.766682,89,58.411226
101.679178,70,58.699553
109.341019,73,59.000525
80.136153,59,59.402436
79.199906,67,59.676693
172.821346,104,60.107456
97.833096,70,60.390758
84.204399,61,60.638196
105.477493,79,60.956538
59.489473,59,61.201844
69.833757,53,61.583265
58.425912,55,61.801255
86.602596,76,62.105687
90.538143,66,62.376023
74.863699,61,62.627012
93.059203,69,62.903747
62.930052,77,63.223059
84.718981,62,63.474551
70.851298,54,63.86531
59.703851,50,64.073422
77.280081,57,64.305686
64.349229,57,64.535203
154.204252,114,64.998001
129.862306,99,65.399278
83.722226,72,65.68963
115.712177,79,66.177165
103.793676,94,66.563159
96.599281,69,66.846905
88.86852,66,67.119422
60.74077,57,67.35046
83.262555,70,67.63113
74.787125,80,67.959132
69.740673,59,68.365555
130.273373,86,68.717768
82.666434,69,69.001423
103.53895,74,69.307643
88.03292,69,69.598567
107.661835,72,69.899843
97.312135,78,70.22083
89.859692,69,70.661733
94.008705,73,70.956629
77.93496,57,71.193622
258.851419,126,71.769482
69.130356,52,71.990956
124.235989,82,72.325076
68.310541,59,72.567281
51.625985,60,72.977871
85.01463,61,73.22063
122.83526,84,73.564065
112.553056,77,73.89021
89.264993,67,74.165185
90.379217,67,74.44145
112.062457,80,74.763434
94.143896,68,75.203719
80.732086,64,75.461604
99.099843,71,75.752641
93.78747,67,76.05627
64.020272,56,76.289854
128.867459,89,76.64861
129.767516,83,76.978175
116.853792,80,77.462867
81.499315,59,77.700068
79.75327,71,77.981305
125.273406,85,78.326463
72.996827,65,78.586109
151.190461,95,78.972966
96.216727,76,79.276929
86.73814,67,79.747595
134.787472,105,80.191104
125.698153,84,80.534033
102.315896,73,80.827474
49.305591,48,81.020176
71.720421,54,81.241113
122.376219,83,81.570004
94.691711,68,82.00593
71.50145,65,82.267407
102.710759,73,82.56051
89.466516,64,82.819459
94.870084,74,83.119561
59.336461,55,83.344103
85.51995,62,83.596205
100.55464,80,83.932204
61.761431,61,84.341711
63.793088,55,84.562976
84.632468,62,84.81254
80.733837,59,85.049533
144.916112,102,85.470476
72.907526,63,85.725341
107.311723,74,86.026318
85.362652,65,86.286699
128.968639,85,86.790641
50.852675,58,87.028049
100.725857,75,87.332027
70.238669,52,87.541343
132.32025,85,87.893313
99.963558,70,88.174562
74.648763,55,88.398224
53.64264,51,88.762138
71.915996,53,88.980572
37.222311,38,89.143372
60.858742,56,89.377398
109.972389,77,89.693859
51.467652,50,89.896478
84.34798,67,90.168242
100.886347,72,90.45882
95.898901,67,90.729431
75.330181,56,91.119224
93.912171,66,91.386146
77.213605,55,91.608355
116.803037,85,91.946338
143.301107,93,92.311685
89.196995,71,92.600528
179.763628,110,93.209455
153.079278,106,93.640655
181.126974,111,94.106353
75.880696,56,94.331938
72.695115,54,94.546225
82.038063,64,94.807752
82.361796,66,95.083101
85.895332,77,95.5554
69.852889,52,95.765688
92.495577,67,96.038225
186.549763,104,96.465755
114.300463,80,96.788509
95.215123,72,97.078783
86.28193,68,97.357025
73.812883,62,97.764432
108.876224,84,98.105882
67.570241,65,98.375272
180.353096,115,98.861036
167.420589,96,99.268094
119.838822,82,99.614147
97.825149,70,100.066416
68.614652,57,100.29263
73.051977,58,100.525311
144.490419,98,100.919958
197.64839,108,101.35634
64.095505,60,101.595184
110.485879,76,101.905322
70.106255,58,102.29974
120.549574,81,102.626131
113.334509,79,102.94968
110.933984,77,103.263061
175.82768,100,103.666753
63.753457,60,103.916261
134.121719,90,104.44221
92.579925,64,104.698534
86.767785,66,104.973756
138.20075,93,105.355238
114.24423,77,105.674227
69.122802,55,105.901329
115.185546,85,106.252839
79.144928,57,106.485707
176.94357,119,107.128016
108.990467,76,107.430304
203.006521,120,107.910877
87.2946,67,108.181733
161.039204,109,108.629657
79.220143,64,109.053429
78.435359,66,109.325788
115.208294,85,109.667101
133.958253,88,110.020713
71.99562,54,110.237972
116.855615,80,110.560999
115.226871,78,110.881862
80.827169,60,111.289759
123.286465,82,111.623468
97.716346,69,111.910741
75.888999,65,112.175819
91.607617,66,112.439623
88.744736,64,112.697975
152.014108,98,113.097508
108.792923,74,113.559076
89.519558,75,113.880503
99.992577,69,114.166761
73.017773,54,114.39505
75.188799,63,114.651362
84.550444,62,114.902484
77.242121,65,115.168727
100.997504,71,115.4603
107.88858,80,115.950037
123.53008,80,116.275789
115.476211,80,116.595721
76.001113,64,116.857305
106.609536,75,117.162821
91.395991,74,117.469408
69.195046,52,117.679834
83.44833,61,118.087679
92.442139,66,118.35924
112.107427,79,118.681185
90.489764,65,118.945185
117.963007,85,119.289936
120.671017,88,119.644753
84.073677,70,119.924269
120.680389,82,120.420928
122.183908,92,120.795641
115.496459,79,121.112245
93.869801,68,121.388582
147.779382,109,121.828061
77.984785,57,122.058978
95.789997,68,122.504028
151.650254,95,122.898206
86.187328,64,123.160372
117.581623,79,123.486844
78.286594,58,123.726058
94.137071,67,124.01603
109.891991,76,124.329623
172.619279,101,124.902074
81.359074,58,125.139448
131.510885,89,125.504932
108.756607,83,125.846119
172.179993,102,126.2601
