#{"t_start": 1545678019.7972815, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
44.444427,46,2.173347
44.747851,49,2.372556
38.475986,44,2.551213
43.67448,46,2.736613
37.186491,45,2.919365
41.892564,44,3.095757
44.75122,58,3.329988
37.571085,40,3.494117
66.017081,60,3.739429
37.707917,41,3.903991
34.225031,43,4.377103
41.864644,51,4.600803
66.473967,62,4.854157
33.53354,41,5.021945
38.046406,43,5.196102
51.163072,47,5.387369
33.663135,37,5.538942
46.770605,48,5.735569
73.016794,70,6.022416
35.284756,40,6.187514
36.848314,41,6.354736
50.192347,56,6.746224
35.102135,43,6.918484
41.508618,46,7.108413
37.551971,43,7.286158
46.266164,45,7.476034
38.090736,41,7.648483
37.555886,43,7.82452
36.976788,41,7.999165
34.496142,42,8.174761
45.346101,48,8.376473
46.683093,52,8.590317
43.320951,47,8.946185
35.314809,41,9.116978
39.959252,41,9.28793
70.996907,61,9.537949
38.38854,44,9.720679
40.24375,54,9.941947
94.988812,72,10.238306
47.30336,60,10.492385
40.663973,43,10.670078
44.045077,46,10.858261
48.093346,59,11.262525
37.206691,41,11.43364
47.88951,46,11.627825
38.201623,44,11.808341
50.279248,47,12.001689
43.204194,61,12.262044
50.004159,49,12.467113
38.824026,54,12.693269
50.035845,60,12.940693
39.151442,46,13.130041
38.621443,40,13.293083
35.337452,42,13.629091
170.777924,108,14.080211
46.004592,47,14.274705
39.37491,40,14.440245
55.564643,59,14.696411
37.64206,43,14.872272
74.798507,64,15.134023
53.116893,50,15.3381
52.930439,52,15.551005
34.436374,54,15.929988
49.249536,51,16.143042
47.593026,53,16.362159
41.80746,50,16.574007
39.749522,54,16.797382
48.571805,48,16.990623
44.348665,46,17.181154
33.38286,37,17.33019
43.336258,47,17.52075
89.613436,78,17.84294
64.032063,54,18.224921
99.415347,80,18.556978
50.13315,51,18.77093
50.052753,49,18.974568
51.453978,49,19.176797
44.841724,43,19.357074
142.755004,91,19.736259
58.168981,52,19.951642
46.048996,46,20.142809
49.963191,52,20.514603
57.334646,52,20.724915
53.436031,63,20.983571
65.269551,54,21.206657
158.149892,105,21.638883
160.830198,98,22.033879
41.585562,49,22.235904
39.13395,56,22.62634
105.206311,78,22.948416
61.690074,53,23.171754
41.141982,43,23.348494
114.960413,80,23.679968
65.498772,57,23.910714
63.784079,64,24.175502
42.262015,45,24.361151
53.216417,49,24.564846
73.259909,59,24.975326
49.365386,48,25.170179
134.244332,97,25.569071
77.518844,57,25.807423
45.570959,49,26.005886
105.834069,77,26.323982
62.548502,57,26.556651
217.238941,132,27.257201
137.430786,94,27.646605
63.327258,64,27.908631
60.528921,63,28.162153
57.397049,51,28.374898
41.220194,47,28.57084
53.942473,49,28.777387
53.702333,50,28.980778
119.447167,78,29.460453
56.151084,51,29.667132
58.011151,59,29.910344
84.35993,64,30.172349
77.105497,63,30.428137
41.001203,41,30.595073
76.152264,64,30.854395
62.022906,56,31.083002
49.87222,49,31.284908
45.342749,44,31.463519
74.089127,60,31.878201
68.931919,60,32.12354
51.407209,47,32.315168
66.146915,60,32.561607
73.092191,68,32.838788
75.604823,63,33.098989
98.765721,72,33.398245
79.79279,77,33.713139
61.470588,57,34.109273
111.828924,78,34.427014
160.280142,104,34.872222
88.86928,71,35.162935
66.148971,56,35.399258
61.5239,56,35.633888
83.201975,66,35.909141
35.560607,44,36.254817
57.721688,55,36.475875
41.690905,46,36.669868
84.912853,63,36.927965
67.436547,62,37.186568
117.780607,79,37.512435
145.813625,90,37.888633
60.602757,56,38.121168
65.951185,56,38.515935
198.20533,119,39.000738
72.964064,62,39.254586
82.394015,64,39.513587
76.022973,66,39.782069
106.551272,73,40.078006
86.414234,66,40.35384
99.237023,76,40.835598
94.289703,67,41.109591
73.960496,66,41.379859
82.768886,65,41.647219
146.180026,95,42.034142
82.207843,60,42.282061
35.432835,38,42.439958
83.467168,61,42.690873
58.345035,50,43.054724
63.775352,54,43.275859
77.543124,65,43.542845
69.320386,58,43.781365
86.340274,66,44.049019
70.032392,56,44.277928
107.07739,75,44.58155
81.468116,69,44.863161
106.615664,77,45.347364
69.040267,56,45.572757
64.396028,57,45.802937
59.35599,56,46.030628
62.973849,57,46.263122
103.849331,73,46.557254
88.80785,73,46.857432
131.005883,85,47.204629
79.881113,67,47.642981
96.511547,75,47.952572
91.295691,67,48.226275
66.674525,56,48.453323
97.530897,74,48.756791
109.442367,77,49.072081
66.974918,55,49.296248
97.033259,79,49.62228
79.57116,58,50.017295
91.39948,71,50.306641
83.344723,70,50.590054
38.115588,42,50.761154
67.596321,58,50.997647
37.985067,41,51.167671
85.929292,63,51.422122
184.679733,105,51.851586
75.946614,61,52.260576
67.047506,60,52.500952
84.387706,62,52.765689
68.729391,51,52.971218
137.125734,88,53.323757
106.548503,75,53.631003
55.700413,54,53.850041
122.351025,95,54.400883
64.096194,55,54.626167
83.088236,67,54.899074
70.869304,62,55.154871
95.362787,70,55.445141
96.227597,68,55.738811
83.461975,64,56.000844
82.009873,61,56.249806
82.239471,65,56.673542
118.225748,78,56.994398
75.119552,68,57.270141
95.322591,74,57.570505
88.061808,67,57.842446
71.678399,54,58.062629
102.372006,77,58.377064
93.014685,68,58.813791
63.32671,51,59.021832
169.04136,114,59.489178
110.718053,82,59.82146
105.287587,82,60.157956
70.607395,53,60.376674
106.610832,85,60.725041
67.257702,60,61.132063
133.512265,104,61.556142
82.73177,67,61.837554
68.690372,66,62.104215
104.345091,77,62.415587
70.432017,53,62.63089
92.397768,75,62.939512
78.254119,57,63.337058
65.230191,55,63.554852
81.357237,60,63.793826
101.899752,74,64.097837
92.522298,73,64.396652
134.433923,107,64.83265
52.823277,51,65.041121
61.428974,60,65.286144
48.924558,50,65.659881
76.193008,60,65.90913
115.165343,81,66.237555
94.66923,69,66.518108
80.279326,57,66.747756
94.538375,68,67.022707
86.284662,63,67.278708
142.568939,89,67.64241
95.166588,80,68.131227
93.601768,67,68.40696
128.435079,83,68.748612
53.364383,68,69.027014
67.016405,64,69.283898
175.202444,123,69.789988
67.769855,63,70.210363
105.544316,75,70.517575
93.387629,69,70.804504
127.103196,88,71.167038
69.689142,52,71.385798
72.433141,56,71.621017
76.022399,60,71.867552
87.997866,65,72.134467
97.320607,68,72.569084
98.407851,94,72.960724
100.214832,75,73.289125
79.184461,58,73.569322
139.323392,99,73.971679
138.654661,89,74.338697
71.127547,66,74.772017
79.526587,63,75.021873
164.013128,114,75.486052
109.988152,104,75.929189
96.051509,67,76.202787
76.492553,57,76.431468
126.020013,84,76.937403
58.102184,57,77.16783
125.398439,83,77.506329
129.615376,89,77.898103
127.720741,86,78.254745
91.416593,72,78.543664
97.959141,73,78.832322
82.296294,66,79.262584
172.201608,102,79.666847
87.203166,62,79.920172
67.405975,59,80.156692
94.737704,69,80.435079
65.607924,68,80.710623
93.202018,68,80.981986
74.973139,55,81.212293
126.619189,90,81.784741
96.455473,69,82.067967
72.300043,54,82.287609
127.534592,94,82.666049
116.190268,77,82.978787
79.976144,59,83.212714
80.708971,60,83.452177
76.185948,56,83.838608
116.799661,91,84.203957
88.171204,63,84.460671
86.274485,73,84.757247
84.269546,64,85.016142
78.959939,59,85.256747
96.898793,71,85.544969
66.162915,58,85.955592
102.654357,78,86.268801
85.633617,69,86.545917
82.552179,60,86.787226
75.812618,61,87.040937
87.838016,70,87.326985
96.753013,73,87.620015
73.662369,54,87.837444
91.733785,66,88.263832
113.382842,93,88.641678
66.743128,50,88.847091
90.684394,70,89.129899
118.505284,87,89.483086
70.276814,60,89.729114
139.227456,86,90.078003
120.595064,93,90.615885
98.84393,71,90.915039
64.053915,61,91.168792
83.951039,66,91.439861
177.310002,103,91.858527
89.689311,70,92.139734
103.176755,71,92.426367
87.888095,67,92.861836
75.133511,55,93.084095
66.759527,50,93.285046
102.16918,77,93.593315
72.488442,55,93.808177
71.317759,54,94.020718
83.859632,70,94.304881
88.507757,64,94.567718
79.355345,59,94.967352
70.216597,64,95.22527
79.883179,66,95.498286
115.564217,75,95.815996
112.590182,75,96.119138
104.118635,74,96.414049
101.749278,75,96.724607
141.773398,88,97.244885
101.66945,71,97.53205
122.3,84,97.875811
98.84513,101,98.288029
102.279329,71,98.57484
86.311873,73,98.87062
151.834576,105,99.454181
159.441153,111,99.907107
90.649708,63,100.16545
139.690485,90,100.548115
116.322817,82,100.892181
163.348455,101,101.322651
85.191103,68,101.768977
76.289989,56,101.990856
102.957645,73,102.283732
73.796469,64,102.543346
87.718433,65,102.80125
68.164503,51,103.006327
71.045575,59,103.245643
112.666757,80,103.57041
73.11289,54,103.947801
77.708239,58,104.182022
99.381697,69,104.460602
131.968626,90,104.828697
73.328834,54,105.047758
77.030331,62,105.29895
113.391144,78,105.62219
128.001039,83,105.957325
77.469902,61,106.36347
90.041201,65,106.63364
97.433289,68,106.912887
89.287349,65,107.178931
103.449319,80,107.513059
113.449724,79,107.839206
77.510354,57,108.071788
69.393471,52,108.444518
85.883596,70,108.728873
163.977762,99,109.125149
93.581419,75,109.425786
121.508404,88,109.77579
203.018044,124,110.28424
69.621439,52,110.498089
146.299807,91,111.032012
79.867683,68,111.307819
92.501513,66,111.574154
93.770035,67,111.841196
91.197669,65,112.106195
81.247413,64,112.364273
74.668365,63,112.624043
130.903734,89,113.150232
93.839127,69,113.431117
86.050919,65,113.702916
78.199042,57,113.933425
89.031951,64,114.189412
74.004459,64,114.448005
82.819262,67,114.720763
79.213838,65,114.983904
74.517934,55,115.368772
94.40016,68,115.66356
106.506061,75,115.979399
72.857464,61,116.231835
95.365151,75,116.535221
126.710708,89,116.898078
96.221802,71,117.189367
80.833877,63,117.610526
135.119131,88,117.969949
63.915076,55,118.191168
111.344346,76,118.496321
112.686516,79,118.820235
91.258014,67,119.096554
102.89204,74,119.397034
121.596762,82,119.89012
110.798179,78,120.210634
96.5757,73,120.506704
109.284558,74,120.807954
63.018621,61,121.056759
78.235202,63,121.309652
247.115274,123,121.966815
69.288581,52,122.178764
104.898384,72,122.473835
71.214422,53,122.687795
114.990363,75,122.989135
95.167104,67,123.259722
197.289005,114,123.718251
145.0779,109,124.330136
124.768578,83,124.677019
80.384065,58,124.914478
110.349319,74,125.220345
105.889712,73,125.522373
51.51746,48,125.733271
136.341208,87,126.092869
99.320317,70,126.538295
100.929978,70,126.82485
77.700901,64,127.086451
73.873473,55,127.312325
86.894945,63,127.57121
96.728434,70,127.856127
88.636247,70,128.137424
91.334437,64,128.395439
116.54229,79,128.879731
164.063619,98,129.273937
87.844736,68,129.544123
141.654529,95,129.930382
108.506754,74,130.228063
132.677269,84,130.569841
68.578863,51,130.938398
80.728318,66,131.205378
117.23974,88,131.561533
78.707109,65,131.822767
84.097206,68,132.099592
95.795797,77,132.409797
124.624059,90,132.771103
72.83116,62,133.180927
119.122955,80,133.501998
78.286316,64,133.760717
129.151319,93,134.139313
90.760446,64,134.397656
78.807601,59,134.635288
152.246216,111,135.088851
117.01622,85,135.599602
146.469978,95,135.991518
114.562862,80,136.308031
72.504301,60,136.547117
89.968475,71,136.82935
117.291502,79,137.148617
224.908396,131,137.834052
82.718,67,138.107372
108.742553,76,138.419029
124.396709,83,138.759161
131.262377,100,139.165939
131.235646,84,139.510998
108.498558,78,139.985774
116.65643,77,140.297974
61.389923,52,140.508523
40.761127,40,140.674204
117.095899,79,141.002434
118.203328,80,141.331545
122.481193,90,141.700415
134.095977,90,142.229533
107.387118,73,142.52716
113.587185,79,142.845071
122.112828,89,143.208607
84.764345,63,143.459798
111.592229,76,143.7725
75.449058,63,144.027445
78.477789,64,144.441985
69.261733,52,144.651642
88.759506,70,144.935672
88.617256,64,145.194926
123.010503,91,145.570832
125.254803,85,145.920621
86.52363,68,146.201715
76.434483,66,146.634647
97.428144,72,146.926672
74.201543,62,147.175971
113.478299,96,147.566011
72.847651,61,147.812453
119.214811,81,148.142678
124.825503,84,148.476524
131.444697,91,149.007769
123.504971,93,149.397931
97.674495,71,149.686499
121.824976,89,150.043607
221.630379,114,150.502561
83.760895,70,150.784595
125.818082,83,151.277715
160.9377,104,151.70411
77.520569,64,151.965003
205.118075,137,152.514497
144.186638,96,152.901064
83.948919,69,153.340818
106.450946,81,153.671283
122.983849,88,154.028728
143.055676,90,154.393993
95.10585,67,154.665903
79.957213,58,154.900568
70.471209,52,155.10859
94.967436,67,155.53267
114.850662,77,155.855536
70.680901,53,156.070341
105.676489,80,156.40154
90.631583,63,156.658576
91.787098,67,156.931465
115.992239,86,157.284198
89.594886,73,157.583044
144.989245,98,158.138545
102.06797,69,158.418612
73.038568,62,158.667669
80.186077,66,158.932228
112.641555,78,159.246106
105.811294,73,159.542548
76.221481,62,159.796273
117.009294,80,160.294539
142.416249,91,160.672635
123.100631,81,161.007507
111.550831,79,161.332601
132.294164,90,161.700768
130.520091,86,162.047899
115.542423,79,162.532482
102.184828,80,162.857738
83.267993,65,163.118683
150.103261,102,163.530605
70.894533,61,163.776687
83.89225,62,164.025201
145.613819,103,164.606411
144.846507,98,165.007963
78.567402,58,165.24387
96.433737,68,165.520013
140.587751,88,165.893106
125.804335,98,166.285587
70.199557,59,166.521221
111.554826,87,167.037732
220.403048,117,167.518175
138.716108,90,167.890374
70.14782,62,168.140165
171.264658,98,168.535139
110.32137,77,168.841683
95.050495,75,169.302133
101.660589,76,169.608322
115.695756,80,169.929695
114.716705,78,170.243974
171.457562,116,170.713626
90.676626,73,171.008543
108.8778,74,171.467
89.683718,72,171.762232
113.288914,79,172.07869
92.212611,67,172.350044
98.662453,69,172.628596
79.585885,58,172.863771
68.417693,61,173.111878
136.102061,88,173.634144
94.458071,66,173.900925
91.524255,67,174.171329
109.651761,75,174.476928
84.324394,62,174.727155
105.046501,75,175.02564
129.930971,92,175.399323
118.317775,81,175.897619
75.65304,64,176.15932
136.856865,89,176.516997
143.699324,98,176.917
127.241916,86,177.268675
88.219966,65,177.536986
123.773955,82,178.029676
79.583494,70,178.318729
78.325645,57,178.554971
96.222899,70,178.842706
117.124737,79,179.167971
134.700349,95,179.554847
89.894918,64,179.814498
88.260487,70,180.257426
186.913772,113,180.709985
94.388514,74,181.009254
100.611521,70,181.296725
83.254012,60,181.545411
83.73761,60,181.791078
148.89606,93,182.172006
85.985102,69,182.619615
80.397345,65,182.890264
109.300967,75,183.197393
70.338087,52,183.411234
115.411493,82,183.746655
128.04863,89,184.114277
64.665515,59,184.35571
165.923369,98,184.917572
221.707321,126,185.429508
106.803525,74,185.745888
138.622774,99,186.146397
91.657706,72,186.436901
108.312426,74,186.733042
125.213988,90,187.257736
70.608513,52,187.471595
105.230961,74,187.773388
134.96947,92,188.142851
99.275125,70,188.428035
83.61861,62,188.67818
138.342237,96,189.067809
93.557152,73,189.521417
146.284385,94,189.905072
152.451841,97,190.298527
110.460413,76,190.607883
136.263997,89,190.968534
79.421403,58,191.203015
83.367669,61,191.6082
174.739101,115,192.076624
83.452918,68,192.356698
125.528964,98,192.754452
78.933338,64,193.01148
74.012092,54,193.230617
84.28265,61,193.476459
88.649389,64,193.891562
120.644552,86,194.243575
145.727099,95,194.628905
117.466347,78,194.945625
149.709034,95,195.331516
186.175375,115,195.97447
90.438082,70,196.257243
127.734176,85,196.602999
168.780082,104,197.020254
118.346725,80,197.347772
103.708514,72,197.633885
133.91551,93,198.00636
101.40074,70,198.444747
120.650845,79,198.761592
163.355333,101,199.170372
122.740538,83,199.50647
89.932006,65,199.774386
120.443618,95,200.156956
82.077595,61,200.571157
93.2429,65,200.834802
98.958053,69,201.115766
145.617643,94,201.492847
196.551368,113,201.948112
128.726774,85,202.294172
125.808692,96,202.846272
137.316189,91,203.215685
144.912229,96,203.607974
120.333375,82,203.940906
95.978619,69,204.218348
95.149528,77,204.526805
80.673253,59,204.930124
97.003841,74,205.230188
109.049629,74,205.525494
104.191082,71,205.823144
105.018886,71,206.111547
86.579454,66,206.375025
108.420702,81,206.704228
91.518632,65,207.133883
92.444191,72,207.428232
157.478041,104,207.848212
93.683054,69,208.12876
91.828399,65,208.394588
84.158351,68,208.671412
188.751592,110,209.118464
82.575293,67,209.549492
87.730929,69,209.831687
100.405847,69,210.107722
137.718393,89,210.468581
121.834333,81,210.794437
89.629568,69,211.077985
87.292539,70,211.364559
117.183504,78,211.839667
119.201172,81,212.173596
79.923314,66,212.446631
221.798462,124,212.948193
123.586441,84,213.292418
109.184691,74,213.592381
159.935621,102,214.16467
157.061043,98,214.560502
121.032158,82,214.890853
119.215297,80,215.212536
73.285716,62,215.465757
89.810397,64,215.737309
139.608304,90,216.258354
112.809533,77,216.574697
94.901471,74,216.878285
165.401246,100,217.290492
148.195987,94,217.671498
132.114667,84,218.003892
112.96174,78,218.48988
157.933911,117,218.962681
114.590527,77,219.273335
77.809159,56,219.497548
164.533754,102,219.909232
81.999107,59,220.147346
82.77555,60,220.394841
153.894947,97,220.951288
134.469518,89,221.315529
118.138874,80,221.640443
155.015962,100,222.043105
145.773108,92,222.420803
80.802568,58,222.661028
112.518533,76,223.136218
169.076822,104,223.563995
110.828408,76,223.875491
108.516971,75,224.175536
71.962877,63,224.430238
124.975551,83,224.769453
192.634175,121,225.420532
136.288593,89,225.800663
119.924856,86,226.148778
149.615769,96,226.545835
83.767356,68,226.825619
104.486041,73,227.117337
102.091439,70,227.568708
95.598336,74,227.869311
78.497649,58,228.102201
150.253048,99,228.507147
87.363191,70,228.790158
161.154397,97,229.180053
74.739188,62,229.588076
107.592641,73,229.885534
102.344936,72,230.181402
74.051206,62,230.436377
82.382779,59,230.675586
101.444574,76,230.984641
110.840055,77,231.297354
159.363458,101,231.861848
98.228357,68,232.140741
135.83603,101,232.546863
153.233177,95,232.938524
110.013408,76,233.252683
115.823438,78,233.57135
143.644837,93,234.112092
112.054202,76,234.41931
138.134914,95,234.8022
172.314485,109,235.24093
92.792041,65,235.50461
110.53364,75,235.825073
122.34762,85,236.341694
104.024136,72,236.63641
114.541258,78,236.957059
87.71073,70,237.24457
181.410092,118,237.726293
109.794303,74,238.029441
108.640331,75,238.331441
85.17571,68,238.763656
127.409349,85,239.106387
110.5768,76,239.415079
118.014592,80,239.740943
143.631992,102,240.152516
90.839869,70,240.435012
99.387093,70,240.877126
78.877014,66,241.142546
115.174443,77,241.453364
115.314903,78,241.769392
105.393797,73,242.064636
91.647483,71,242.349611
114.190805,77,242.662063
122.957268,83,243.151783
175.137499,105,243.574484
88.83234,63,243.828919
105.948142,72,244.119891
127.332318,84,244.459064
128.134655,87,244.813842
151.415434,98,245.372749
165.392421,106,245.821448
137.635621,89,246.183568
116.263729,78,246.497577
122.442717,82,246.828087
100.152656,77,247.139413
89.970832,70,247.577915
158.684903,104,247.996109
103.150482,71,248.281683
115.894,79,248.598439
138.794994,91,248.961329
171.139641,106,249.388535
137.263313,90,249.916376
82.724849,66,250.185716
108.251998,73,250.479889
164.978594,106,250.901355
105.089782,74,251.198415
103.079624,71,251.483488
135.442754,89,252.000439
88.184671,63,252.257347
112.860044,77,252.565114
124.329836,83,252.900491
100.025418,78,253.214805
147.363175,98,253.611714
126.476778,84,253.950955
104.782865,72,254.402611
101.807501,70,254.692795
126.018299,84,255.03441
126.357572,97,255.425962
136.91271,93,255.821967
121.641585,81,256.147346
101.99243,70,256.589774
120.213465,79,256.912198
90.155174,65,257.176485
100.529235,77,257.487997
117.566452,81,257.814042
133.878732,91,258.182909
121.940344,81,258.507179
93.376067,73,258.957551
160.217009,101,259.357113
95.014724,74,259.646095
123.230633,82,259.969699
107.915338,74,260.267298
90.706954,71,260.556219
152.767583,98,261.105199
86.15857,69,261.387672
79.9445,58,261.625304
117.812685,80,261.942617
106.485044,73,262.235661
112.38959,75,262.538552
125.810811,83,262.86874
