#{"t_start": 1545678020.9659898, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
44.564001,43,0.994321
32.403673,39,1.152645
42.516757,49,1.350424
36.674811,40,1.510882
49.860419,50,1.715677
35.328853,43,1.888333
39.156277,46,2.074383
38.748169,41,2.240087
65.453576,60,2.487204
42.114522,52,2.697586
43.040924,63,3.250451
33.702209,38,3.41932
49.701226,53,3.63934
34.289247,42,3.810404
33.934657,43,3.98579
34.014049,37,4.135501
43.911916,52,4.34728
44.153185,46,4.535622
36.425302,42,4.707602
40.811939,43,4.884266
31.867588,44,5.066955
40.487261,41,5.233104
70.974186,67,5.667253
35.505205,49,5.867169
43.092807,44,6.048001
33.833808,43,6.228371
43.319787,50,6.44116
39.952825,51,6.649341
36.738043,46,6.844445
55.801796,54,7.071743
37.507253,42,7.248569
42.286496,45,7.431849
39.196048,47,7.787758
36.692793,42,7.962262
33.932166,54,8.187906
42.910156,47,8.379456
36.980533,42,8.553854
43.981108,43,8.729944
49.107803,48,8.928173
40.761343,43,9.106529
42.727012,52,9.325849
39.695119,41,9.494998
37.389584,43,9.670783
53.85233,50,10.037734
85.50485,78,10.36441
65.24347,59,10.60938
35.517012,39,10.768047
40.955424,41,10.940733
39.914957,41,11.116244
59.654571,56,11.350291
36.024158,46,11.542851
35.68221,38,11.69848
69.48863,77,12.015127
54.618751,54,12.400097
40.053455,46,12.592105
48.349766,48,12.794337
83.863347,63,13.054909
53.874247,51,13.265419
35.86494,56,13.509496
41.734082,44,13.689353
41.485107,44,13.869703
35.308884,39,14.028309
44.904168,45,14.212591
37.730882,45,14.395571
42.670763,43,14.729617
48.045839,48,14.930826
42.694994,44,15.112651
58.639962,61,15.364428
47.261835,46,15.5604
40.996818,50,15.764179
74.884624,67,16.037511
35.094892,44,16.21596
62.243673,70,16.501694
46.687724,48,16.700236
58.771837,63,17.118977
66.237434,58,17.359234
41.275087,51,17.574137
45.229698,55,17.803221
44.989489,46,17.993168
78.99071,73,18.297765
50.003849,52,18.514034
41.691581,65,18.784898
34.004624,38,18.942024
132.974714,103,19.521832
43.406908,50,19.72752
73.04099,80,20.05615
117.05485,85,20.406192
73.588402,69,20.684228
36.12097,43,20.858957
40.903031,46,21.049105
47.260567,49,21.24931
53.299856,48,21.605962
119.027109,81,21.945467
43.978485,46,22.135418
79.488223,65,22.405297
56.418625,63,22.662333
63.766647,60,22.909617
41.108548,54,23.13276
48.206282,47,23.323457
56.977849,53,23.714469
58.274406,56,23.942827
36.453751,48,24.136485
78.023964,58,24.376763
46.948673,48,24.579071
182.92904,103,24.999951
52.688487,57,25.232913
56.269793,54,25.45517
51.139069,56,25.686076
126.193609,84,26.190603
46.858217,45,26.377842
47.985866,48,26.573178
73.984399,60,26.817272
96.603335,75,27.123757
62.040775,63,27.386609
58.309169,52,27.606392
82.026974,74,27.908173
59.126224,53,28.285427
67.682882,57,28.517071
66.935335,54,28.73939
57.621941,53,28.956904
68.956223,55,29.180107
37.503798,47,29.371805
115.081832,77,29.683467
54.715074,50,29.887415
73.234014,62,30.142444
53.834677,53,30.528487
62.345922,52,30.74102
85.609494,69,31.022763
80.752249,68,31.300376
107.241888,78,31.618992
74.879355,60,31.864185
62.527016,55,32.095961
182.978399,106,32.529956
212.456069,133,33.235976
91.709078,67,33.530215
63.841589,58,33.767912
51.417658,51,33.975322
125.704611,85,34.333235
76.986972,57,34.568905
52.12848,52,34.788235
66.965191,59,35.19248
103.399448,73,35.494806
49.088421,48,35.69062
55.420951,47,35.88609
177.701423,105,36.321997
73.95571,60,36.570523
70.703217,52,36.787709
76.850363,61,37.042154
134.637961,86,37.557616
60.729057,55,37.779878
112.23653,76,38.091936
84.234872,66,38.359148
71.620708,68,38.635915
95.234207,69,38.915448
72.476976,60,39.165804
75.840539,69,39.618696
81.423093,62,39.872641
151.707846,99,40.278361
68.276723,57,40.512894
104.658374,71,40.801602
81.516013,62,41.056783
135.164082,97,41.457322
85.744886,65,41.882805
69.405763,61,42.134074
87.525498,65,42.400964
72.377708,67,42.674812
135.644277,102,43.090734
114.64853,84,43.431228
82.097971,66,43.700289
76.50719,57,43.942459
174.98946,103,44.520082
128.938596,82,44.85115
59.349284,55,45.075976
62.037244,55,45.297408
119.672934,92,45.6744
84.375029,71,45.96555
68.480318,51,46.17483
137.618052,102,46.75704
152.868848,94,47.139305
65.560846,62,47.390947
50.500791,46,47.582181
69.122925,55,47.805045
73.749435,58,48.044125
40.458745,40,48.207197
124.035816,83,48.709502
103.78127,81,49.03819
74.722133,66,49.308127
69.001129,66,49.572843
70.270145,65,49.839957
193.029197,109,50.282965
78.967383,59,50.525728
152.119358,97,51.0818
149.049667,100,51.487057
204.253789,111,51.945485
67.226241,51,52.148444
52.690257,53,52.368236
101.187018,76,52.675068
89.898757,74,53.139695
80.587111,60,53.386288
72.270182,54,53.60765
140.575583,94,53.992567
69.350861,59,54.237607
62.44502,54,54.467966
73.639408,61,54.722122
146.620395,105,55.151276
63.663673,55,55.535234
67.153057,78,55.854274
107.439919,76,56.163242
65.933094,56,56.391078
131.796589,98,56.789185
73.995511,61,57.039748
78.084761,57,57.270245
61.436871,60,57.675154
141.55737,93,58.053721
85.507105,70,58.34329
143.202836,88,58.699256
76.917208,58,58.93582
75.245468,60,59.18564
69.629709,57,59.418604
109.777487,79,59.905195
85.000617,65,60.171382
55.26727,57,60.401435
170.367737,102,60.824902
86.238754,71,61.111322
102.073134,78,61.427884
74.696748,64,61.688913
66.849526,84,62.199005
71.422399,53,62.407979
70.682836,60,62.649219
76.032534,56,62.877002
72.122415,57,63.113563
91.864946,73,63.406235
190.839212,115,63.878339
84.621,71,64.167831
84.256944,70,64.627086
82.666526,64,64.888566
74.010555,56,65.114481
107.285434,74,65.416486
42.531589,60,65.658802
77.518306,65,65.921418
109.827472,82,66.252502
98.901495,76,66.727957
101.131646,75,67.035276
72.731834,54,67.257052
73.994302,77,67.573828
95.912089,77,67.889153
112.522354,89,68.245928
122.470781,86,68.602391
113.687421,80,69.091836
80.932134,63,69.35076
140.046925,87,69.71145
127.352958,84,70.05901
105.934818,78,70.387914
35.2809,39,70.548385
151.618963,105,70.979095
60.149289,57,71.3701
67.957844,51,71.576136
110.913544,78,71.926262
66.667113,50,72.132
98.353876,68,72.45175
131.283894,84,72.791605
82.854248,63,73.050092
95.885372,72,73.511392
93.269126,67,73.778955
75.391772,60,74.024717
71.683243,63,74.279819
75.324239,56,74.522598
95.766127,68,74.803486
82.580987,66,75.072037
66.972511,58,75.305685
93.459567,72,75.590986
99.456397,69,76.040671
75.47241,61,76.287524
90.947071,66,76.588727
146.707431,101,77.008125
80.642727,85,77.349154
117.007107,78,77.656768
63.429145,56,78.045123
123.18507,82,78.370908
80.9532,62,78.623455
72.331844,54,78.841844
84.436977,68,79.113228
83.369361,61,79.364084
76.578965,57,79.592927
134.416327,88,79.952495
106.019055,73,80.453482
90.319147,64,80.71666
81.905556,60,80.962298
77.217866,58,81.199311
106.429509,79,81.514065
111.608586,76,81.824208
83.817044,59,82.05771
63.801554,59,82.293518
