#{"t_start": 1545747149.0164568, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
11.771997,20,73.343684
11.06537,13,73.396307
5.892704,9,73.433509
42.083137,42,73.609563
110.58844,72,73.91565
6.943649,13,73.96949
29.712631,27,74.082855
6.955934,9,74.120408
15.068784,21,74.209976
6.817378,14,74.267375
8.954983,11,74.311369
6.887694,11,74.356955
17.536943,17,74.428108
8.738802,20,74.512579
5.778326,8,74.545788
9.870994,18,74.621813
24.661684,23,74.721363
12.275748,22,74.813014
17.356589,20,74.899863
7.795272,14,74.960233
11.919139,13,75.016778
4.02347,11,75.064039
46.726799,44,75.251783
21.31452,19,75.330503
12.852425,15,75.391883
124.96085,75,75.709651
5.772365,12,75.762474
10.244683,18,75.840061
4.634387,10,75.883373
6.456844,14,75.943024
33.188119,26,76.055041
8.690809,11,76.101296
12.363181,20,76.187581
33.544679,32,76.32325
9.506247,13,76.379027
15.279317,15,76.443214
12.628187,16,76.511689
10.634482,14,76.570155
8.270346,12,76.6193
20.633055,19,76.700039
4.597018,7,76.73036
12.767442,28,76.845834
8.00385,12,76.89739
19.314327,29,77.021703
5.764788,9,77.059429
15.731394,16,77.125478
56.493088,58,77.376995
10.593202,13,77.43231
14.793036,15,77.495257
6.752674,10,77.538249
10.614937,19,77.618985
8.96823,22,77.71086
9.763755,12,77.761666
13.662891,22,77.855262
17.206274,17,77.927646
10.451165,16,77.995816
18.142777,25,78.103523
23.461767,27,78.217394
5.737499,11,78.264126
21.942727,23,78.36603
14.459009,22,78.459533
8.861267,13,78.515418
10.162909,17,78.588099
7.273085,12,78.638496
12.771126,21,78.727888
8.984564,10,78.771082
3.684146,12,78.824352
14.620343,31,78.959838
8.986107,12,79.012364
9.136626,14,79.072279
18.681144,19,79.156034
6.463106,17,79.228832
25.589798,26,79.343882
5.067717,14,79.405401
30.869162,33,79.547673
11.556362,17,79.622576
15.169645,17,79.698107
8.239822,26,79.809397
13.15309,17,79.883476
11.744194,13,79.939142
4.448606,8,79.973907
18.09374,18,80.051471
13.907452,18,80.133296
6.630821,10,80.177308
7.058157,11,80.223627
6.429354,8,80.257926
10.67346,13,80.31201
10.40118,13,80.366928
16.680543,22,80.460273
28.073829,23,80.560656
4.646894,11,80.608505
9.895651,12,80.65818
6.023242,13,80.713915
45.791066,51,80.929025
15.354911,15,80.992237
9.30414,15,81.056623
6.425692,8,81.090456
12.646595,15,81.153915
13.2852,16,81.224755
9.815527,12,81.276716
8.592167,11,81.322073
17.451001,17,81.407645
23.284434,26,81.5172
22.281665,23,81.615125
26.799992,30,81.744744
10.045467,15,81.810138
5.697065,10,81.853781
15.321257,24,81.960012
7.107273,15,212.102715
103.209479,69,212.401665
38.154647,33,212.543307
9.32945,14,212.600594
82.000777,48,212.806505
9.419403,25,212.912779
20.804523,21,213.004665
33.345349,34,213.149106
6.52459,17,213.220768
10.091753,14,213.281983
15.431298,16,213.351593
22.390956,20,213.439136
8.927233,14,213.499492
6.136013,11,213.549218
9.942604,12,213.599586
24.59278,21,213.691254
59.947379,36,213.844876
11.164496,13,213.900446
12.885421,29,214.025566
12.543254,23,214.124373
7.20911,10,214.166634
9.427889,12,214.218148
33.253775,26,214.331102
110.136726,72,214.640632
13.315602,14,214.702896
9.831298,13,214.760614
11.55131,18,214.838745
74.407344,59,215.092595
9.943294,17,215.166864
22.269092,24,215.269165
28.331152,28,215.388829
9.355841,17,215.461889
35.343355,36,215.616361
13.55094,24,215.719127
11.14556,12,215.769466
6.646785,9,215.809299
24.735513,28,215.928987
36.134647,50,216.142415
12.300621,14,216.202501
13.214917,17,216.276174
10.722662,12,216.329676
10.112412,14,216.389702
12.788704,13,216.444718
9.898283,11,216.492096
9.321758,13,216.54845
16.277237,18,216.624134
7.638456,9,216.661853
7.151229,26,216.774486
136.342469,76,217.104392
33.294597,31,217.23722
35.070187,28,217.356618
10.357993,15,217.420195
31.441808,26,217.530518
26.465637,23,217.632491
11.595448,20,217.717344
33.051782,34,217.862712
8.584697,16,217.930228
50.118646,31,218.061352
64.852851,38,218.223264
14.958087,22,218.316266
18.984296,18,218.395328
11.504787,14,218.454179
89.626293,62,218.714079
11.903346,13,218.767666
7.597592,11,218.813708
6.819954,12,218.865006
12.263791,19,218.94442
22.578635,27,219.059232
21.15118,24,219.158066
20.186208,30,219.283316
167.569564,93,219.67456
11.347171,12,219.724457
8.872473,13,219.778954
141.248003,84,220.139093
13.379721,33,220.281786
5.025503,8,220.317518
15.893514,19,220.400229
9.381672,25,220.507485
63.885907,44,220.694576
11.514234,18,220.77078
21.078123,38,273.764285
230.466794,113,274.272669
45.982138,36,274.425103
20.51077,22,274.518533
87.186375,52,274.745081
96.917888,58,274.989205
18.550435,22,275.07983
79.450645,51,275.292186
5.475501,12,275.34343
27.618532,35,275.491317
76.494565,45,275.676978
240.759464,141,276.26631
106.920634,59,276.518289
23.033375,23,276.616915
132.455344,71,276.918597
100.801869,86,277.284914
46.788034,35,277.433316
169.177858,80,277.775596
19.454366,19,277.857471
199.648303,97,278.268885
13.645679,17,278.340227
40.834936,25,278.446059
21.039169,20,278.530027
56.786446,47,278.725841
17.456059,19,278.805738
10.230323,12,278.856634
26.425059,26,278.964508
155.629908,73,279.267124
39.003185,32,279.402572
26.447018,34,279.547004
70.704817,55,279.774883
36.606031,31,279.90269
104.521117,60,280.153617
28.752465,26,280.266491
17.025915,28,280.382467
12.788307,23,280.478903
14.843792,15,280.540299
10.984989,13,280.594864
144.46107,80,280.930943
18.24261,19,281.00979
70.492884,46,281.203768
13.88862,22,281.297702
60.64769,41,281.483962
7.341524,10,281.527278
61.602447,42,281.710317
6.483979,9,281.749455
31.384522,26,281.859477
178.548108,98,282.264862
128.611849,103,335.442243
109.742723,65,335.709696
12.684403,20,335.794419
9.531116,12,335.844805
35.153892,34,335.987406
92.566159,55,336.213732
7.565339,10,336.25477
143.115749,99,336.666975
16.712253,28,336.783905
68.977197,41,336.955246
103.750982,58,337.199199
177.320961,101,337.625776
13.508518,15,337.689325
197.364782,98,338.109349
11.585067,14,338.165907
11.294116,19,338.245199
19.760104,24,338.346692
144.402179,77,338.668851
49.667812,31,338.800783
157.274285,88,339.172495
17.041895,26,339.283297
120.663764,65,339.555925
83.379542,49,339.762007
112.941664,61,340.018109
8.945935,12,340.067692
211.832911,103,340.498237
22.348177,22,340.590531
45.594126,33,340.728785
91.187322,51,340.943196
40.469437,34,341.088224
9.40063,20,341.171973
92.781378,53,341.401849
200.884205,95,341.805573
94.965427,55,342.040169
167.422043,96,342.440772
29.55197,27,342.556484
80.237212,59,342.807912
103.320906,56,343.041087
11.045143,13,343.094602
53.999977,49,343.305142
10.016021,12,343.35956
28.484647,27,343.473366
187.441928,87,396.455088
21.068294,20,396.538543
148.655962,75,396.852951
73.481837,44,397.037308
128.498912,64,397.305484
232.625248,117,397.799599
87.888821,51,398.014319
128.579021,66,398.291936
52.47823,32,398.424093
64.910488,38,398.586307
25.298606,22,398.677273
233.339101,114,399.164078
185.940964,83,399.515763
121.026626,65,399.788735
158.658239,90,400.165048
173.011573,88,400.540835
13.874153,14,400.598547
57.490854,35,400.743087
78.170801,46,400.938056
200.671497,88,401.303692
116.261943,61,401.574205
78.671606,45,401.761046
15.679341,18,401.836001
97.067275,57,402.073308
16.87491,16,402.138074
74.124563,52,402.351966
80.842787,47,402.548639
56.835895,33,402.687508
216.478781,100,403.103124
112.334607,59,403.351375
14.296377,15,403.413753
5.565224,8,403.447997
13.135731,18,403.524365
55.261873,34,403.663721
179.159133,102,404.092419
37.664734,27,404.205867
192.063582,92,404.591518
