#{"t_start": 1545747148.097146, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
7.43452,15,74.242291
7.740626,11,74.288264
9.423092,14,74.344401
35.633966,37,74.499477
8.360657,22,74.591475
15.914643,19,74.670891
3.763583,7,74.702675
8.683159,11,74.749335
9.14295,11,74.796248
4.593311,17,74.867881
6.283843,11,74.913418
2.660923,19,74.994333
10.982408,16,75.06104
15.400037,16,75.129377
8.310629,24,75.226645
10.483305,13,75.280803
46.335226,45,75.469433
19.304099,24,75.572101
10.454768,12,75.623785
12.567529,14,75.682689
19.10703,24,75.784337
15.857354,17,75.85759
8.501576,21,75.948628
7.314641,9,75.988
8.053028,10,76.03065
12.86371,23,76.127003
23.368658,27,76.241541
9.353995,14,76.299006
13.769972,23,76.395823
9.064252,11,76.443345
4.833571,11,76.488791
7.335875,11,76.53472
19.912233,30,76.66427
13.655061,17,76.737577
15.779697,17,76.811613
9.287959,16,76.878892
29.645126,28,76.999736
11.046658,21,77.091088
8.145787,10,77.132901
21.30564,30,77.259667
6.105883,8,77.293817
7.701211,15,77.358408
51.074951,39,77.521946
14.070711,30,77.650164
15.577082,16,77.715607
6.819258,14,77.774588
18.197002,18,77.852625
25.857864,30,77.977731
14.239479,31,78.109585
14.724943,18,78.187627
6.640148,15,78.25178
6.497509,28,78.372755
59.216022,45,78.564302
14.937578,15,78.626165
22.968202,28,78.744748
5.534282,9,78.783265
8.108947,13,78.838224
6.087147,9,78.876246
9.471671,19,78.959436
54.436316,44,79.145161
13.055374,15,79.209026
11.552162,24,79.315089
10.339198,17,79.387371
9.034456,11,79.435502
8.593991,13,79.489914
33.756452,44,79.677983
8.761386,14,79.739814
13.142551,15,79.80615
14.372105,17,79.879311
8.821265,15,79.94474
15.469754,22,80.040033
16.107495,16,80.110335
18.277499,20,80.197045
25.340089,27,80.316097
10.326936,14,80.376862
22.162427,24,80.481159
9.116572,11,80.528684
10.370918,12,80.583278
12.17173,23,80.681887
21.300941,20,80.767459
16.779614,25,80.875875
9.640013,16,80.944197
7.481509,10,80.989717
13.982782,19,81.07473
5.334649,8,81.1097
11.055799,19,81.189877
6.112886,13,81.244203
10.836408,14,81.303757
15.097086,24,81.405412
13.827317,15,81.470769
36.856812,32,81.608705
6.786504,9,81.645874
7.736143,31,81.776438
8.243874,23,81.872373
7.944365,16,81.940875
28.382839,23,82.039433
9.599428,13,82.094881
9.163138,16,82.167262
10.030206,14,82.22564
7.615541,12,82.28282
8.914053,11,82.335134
23.592455,23,82.432033
17.663338,16,82.499577
10.482187,13,82.55611
18.762218,18,82.634547
92.179591,61,82.900599
10.635019,13,213.037128
102.587349,65,213.316641
8.159767,15,213.381884
11.595372,25,213.487508
91.947811,52,213.70909
80.014845,50,213.924049
18.736134,19,214.005894
21.778201,37,214.161515
75.302697,47,214.36654
17.418513,18,214.445503
20.442449,31,214.579749
7.119247,10,214.622426
98.830473,87,214.997251
20.148482,26,215.106938
15.559097,22,215.201951
17.830949,20,215.289844
21.034029,28,215.408088
8.820877,11,215.454318
22.241993,20,215.541891
42.451452,45,215.741536
6.360682,8,215.774802
30.41016,55,216.011976
14.157545,34,216.159049
22.427394,22,216.251198
14.746542,20,216.339187
31.703616,28,216.457829
10.946959,13,216.514264
21.028856,19,216.596016
7.99443,11,216.643031
31.506083,31,216.776188
21.225797,19,216.856952
65.903618,39,217.023897
26.751207,22,217.117426
8.377854,11,217.165494
6.783953,15,217.231963
6.086656,9,217.270161
111.073108,69,217.56474
9.557755,11,217.611342
7.575723,14,217.671707
7.882502,21,217.761564
14.590523,16,217.832973
38.345478,30,217.963586
172.763783,78,218.297321
90.302061,54,218.529667
9.887774,11,218.576736
9.5213,14,218.636706
7.657182,13,218.692649
76.314895,48,218.895709
16.87578,20,218.980702
9.886195,20,219.065348
9.73537,16,219.134338
14.151625,14,219.194062
9.480042,15,219.25757
161.937711,92,219.64555
6.665255,11,219.691321
23.720796,27,219.805382
14.937228,26,219.914409
18.072271,19,219.995288
24.313647,37,220.150001
55.846975,39,220.311057
12.067127,26,220.423073
13.694372,19,220.502805
3.846177,7,220.532823
10.876294,16,220.598255
33.421862,28,220.716274
42.788424,48,220.921441
61.26816,43,221.105171
14.423932,31,221.241113
91.541311,52,221.46636
7.156986,9,221.505134
35.855295,61,221.761948
5.703817,18,274.671369
58.442357,36,274.850258
52.151181,38,275.013346
65.329455,38,275.174861
106.31681,61,275.433363
76.907572,44,275.625875
32.138122,50,275.837102
138.008233,69,276.123487
24.932099,26,276.232642
14.841486,20,276.318225
14.242159,17,276.389545
91.49711,73,276.6933
13.559029,15,276.757645
75.095472,51,276.968825
12.596073,26,277.077824
13.223989,14,277.136333
7.211864,9,277.172865
11.76674,14,277.23505
89.155895,55,277.467455
16.895301,20,277.553253
16.083943,27,277.668839
11.237559,12,277.719587
6.272401,9,277.758149
8.471994,14,277.816991
160.920919,75,278.134696
158.646416,85,278.497676
118.725706,66,278.781359
161.007527,78,279.11238
12.389326,23,279.207978
21.502749,25,279.31449
4.341568,12,279.365395
111.390821,74,279.674972
67.294499,40,279.842367
73.736473,50,280.049416
64.938251,42,280.22341
11.375873,16,280.291912
12.920822,15,280.355793
45.1347,38,280.517998
12.109928,13,280.571089
10.450381,14,280.628051
74.371362,53,280.846838
54.071833,47,281.043883
135.482421,80,281.382406
20.730606,31,281.509979
23.592194,34,281.652961
119.3749,90,282.030293
31.96811,26,282.140028
77.466575,45,282.33696
176.235089,86,282.715624
67.909128,45,282.905206
117.460777,64,283.16793
7.557057,12,283.217269
66.448883,39,336.124692
13.837083,16,336.193458
146.528105,80,336.526923
194.521914,86,336.885801
43.34901,46,337.075845
90.427048,51,337.286817
95.558012,53,337.506154
65.376373,48,337.707832
78.428754,45,337.895949
111.170943,61,338.152214
24.031797,20,338.236179
19.142167,21,338.325604
182.183696,91,338.713538
13.757211,16,338.782348
7.561836,10,338.824528
7.563795,13,338.878692
109.019212,61,339.13565
200.025385,92,339.520935
22.694622,22,339.61288
12.643707,14,339.672885
20.931705,18,339.750072
80.366011,47,339.949824
102.23596,56,340.185216
201.681631,98,340.596848
24.615083,22,340.68999
222.801316,100,341.108608
8.653878,15,341.170764
12.255857,14,341.229274
67.902487,43,341.409005
16.261106,24,341.50988
75.252397,44,341.69406
58.953612,36,341.844692
11.164193,14,341.90557
95.013605,75,342.221854
128.882261,73,342.540448
100.270633,57,342.781004
125.228864,65,343.056056
33.225099,36,343.204768
98.155332,55,343.437602
64.834132,50,343.649534
78.622947,47,343.848524
106.092184,56,344.082855
220.166479,105,344.532527
91.188447,63,397.411425
235.326342,104,397.847006
45.412673,36,397.998286
182.093376,88,398.367145
25.089478,21,398.456656
153.196153,76,398.777932
92.411683,51,398.991496
146.517259,92,399.377198
207.862785,95,399.778763
231.518328,121,400.294857
232.361076,111,400.762478
187.794292,85,401.119009
21.606775,41,401.29478
7.160955,10,401.33584
225.560819,114,401.815702
21.005915,20,401.899342
207.498892,95,402.309516
219.356413,98,402.718027
8.12594,10,402.759475
108.284114,59,403.004905
67.495953,40,403.168743
121.909474,63,403.430421
19.636702,43,403.611197
27.136303,23,403.705281
212.665964,95,404.102484
60.691301,38,404.260767
224.528183,110,404.72154
245.060178,107,405.171322
17.431164,17,405.243552
225.778896,108,405.695299
212.503995,99,458.825576
209.898342,99,459.24411
199.302309,89,459.617047
217.561432,95,460.015477
152.928308,77,460.336952
205.007008,94,460.730057
63.530112,37,460.88233
140.205603,71,461.182007
143.430435,73,461.488558
160.762015,76,461.809423
83.608707,48,462.008051
59.545602,35,462.159187
83.751841,49,462.365108
5.755534,9,462.404185
168.443727,78,462.731435
202.48279,95,463.127619
214.486285,104,463.578591
216.295764,95,463.970044
148.177607,80,464.300608
221.061384,102,464.724322
59.245706,37,464.878833
218.447386,99,465.299773
90.446363,52,465.523361
218.081008,101,465.952241
203.704761,94,466.349858
50.810867,31,466.480508
70.209278,44,466.670363
110.027912,59,466.919553
119.876894,65,519.854243
173.837889,81,520.193475
212.123448,92,520.576963
196.374628,87,520.938055
213.453025,98,521.349015
195.759046,87,521.711315
168.690041,81,522.052669
202.529385,90,522.426017
75.80801,44,522.610019
227.529267,99,523.022573
73.018471,43,523.204858
207.419462,90,523.591335
194.161819,89,523.964955
224.807166,99,524.376594
197.547362,96,524.779592
9.834392,20,524.862939
171.329402,80,525.198775
226.226318,104,525.632399
122.848186,65,525.904444
199.764098,89,526.274462
204.853565,97,526.67755
62.945025,39,526.83983
186.281369,91,527.217669
64.939593,40,527.388223
75.529993,43,527.56883
100.469866,55,527.79723
54.713899,33,527.938375
246.847155,104,528.371711
261.954537,143,581.63473
276.212571,126,582.16031
190.19559,85,582.52138
212.833474,98,582.937171
189.738349,97,583.356494
220.272524,99,583.765774
57.886949,35,583.908252
206.724431,92,584.285771
160.702232,77,584.606153
225.190042,98,585.000858
212.134605,92,585.375496
223.434074,98,585.777447
217.620398,94,586.161887
69.418285,41,586.328094
187.391716,91,586.703082
222.600108,100,587.118013
121.503322,64,587.383213
220.512957,97,587.785959
108.98078,59,588.026209
206.906202,92,588.404208
227.469311,97,588.798543
198.429127,96,589.198555
148.580427,72,589.497158
189.655276,86,642.374402
252.276269,109,642.823515
200.885415,90,643.196816
211.719277,93,643.594167
208.662375,91,643.972361
214.855091,95,644.37262
