#{"t_start": 1545676627.7444236, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
45.933682,42,1.31575
30.097112,36,1.463357
33.867059,36,1.61153
24.712402,35,1.756989
27.999667,30,1.879853
31.318265,34,2.021109
26.407095,36,2.171
28.736976,39,2.330757
68.024019,58,2.576351
30.040853,31,2.721042
27.378961,33,2.856624
39.529787,42,3.026863
31.549445,40,3.191635
33.635322,34,3.631394
29.059009,34,3.774362
27.067994,40,3.936308
30.040079,33,4.070941
30.846979,36,4.220647
51.72413,46,4.409482
47.651323,51,4.619102
42.74613,39,4.779635
94.908507,78,5.098958
26.827313,45,5.281013
31.865421,40,5.441776
39.192186,40,5.604953
56.851845,51,5.971497
108.034353,72,6.262828
40.148749,48,6.455715
43.781745,57,6.686544
34.490414,41,6.855683
32.935376,53,7.072261
34.748028,33,7.208353
36.075812,39,7.365727
41.328081,41,7.529636
39.243607,39,7.689207
28.291797,35,7.834606
26.903276,34,8.135228
39.858358,43,8.311172
39.937144,43,8.492407
32.362242,36,8.641969
31.366022,34,8.78028
29.694902,34,8.920805
74.208624,64,9.184884
53.949207,53,9.401841
40.482429,53,9.623199
35.705503,37,9.774517
47.463909,49,9.978289
39.878127,41,10.147427
91.167469,62,10.562587
27.222489,28,10.679171
87.589501,67,10.955302
53.457531,55,11.185499
72.18668,62,11.438138
39.116087,42,11.614735
31.012183,46,11.808438
37.669509,38,11.966038
50.118747,47,12.158572
36.257715,38,12.31529
61.025176,54,12.708527
62.187944,50,12.914558
104.700219,74,13.222554
104.116339,78,13.54301
100.566603,70,13.82921
31.868911,36,13.975216
129.663744,86,14.335804
142.678604,89,14.711164
100.02251,68,15.154984
139.605151,91,15.525123
50.978127,46,15.713447
130.015985,80,16.044439
69.808422,57,16.285281
74.737274,52,16.500861
37.417711,41,16.670253
44.737605,41,16.836638
43.658347,42,17.007768
58.645127,51,17.378819
138.973998,88,17.740944
121.378691,76,18.050831
111.164025,85,18.400329
178.015279,108,18.844847
50.352394,47,19.037426
90.009266,62,19.289809
116.43057,75,19.755818
98.044638,66,20.027549
69.68867,50,20.232799
84.455829,57,20.463655
70.981819,51,20.683662
73.04678,52,20.895188
63.56555,53,21.11374
153.059626,95,21.504721
43.711048,42,21.835754
236.027944,126,22.35275
78.714873,63,22.615002
68.579106,48,22.81911
66.48339,47,23.011254
59.332459,43,23.185677
114.994071,76,23.49896
66.68291,48,23.703573
104.4266,70,24.150342
34.366398,35,24.293018
91.530014,61,24.541282
96.760136,67,24.817298
92.318646,64,25.079291
85.193655,60,25.322712
89.91451,66,25.588094
77.762405,55,25.810231
90.109613,64,26.067393
92.236912,64,26.495502
65.845208,64,26.760177
65.435209,47,26.951087
85.555503,74,27.254141
114.1047,80,27.580387
112.860409,73,27.881994
229.54044,116,28.519647
66.739541,48,28.715278
67.950495,49,28.912673
93.299728,63,29.171022
71.706831,52,29.380588
97.79807,71,29.669975
71.496958,57,29.898495
246.422716,129,30.424581
154.03474,96,30.981121
85.135062,70,31.266303
54.485038,51,31.473126
155.563796,95,31.870004
163.381602,99,32.277463
94.605561,66,32.537749
110.853804,70,32.842469
81.935186,57,33.237418
80.471818,57,33.482475
95.108309,67,33.763484
99.943158,66,34.039558
196.847812,118,34.523381
85.963975,61,34.774981
172.910568,113,35.398374
117.896008,79,35.721541
153.752935,103,36.144544
29.697646,51,36.357268
83.355932,59,36.600419
68.749326,49,36.79764
123.798484,84,37.148613
77.44784,61,37.399218
100.127112,75,37.863393
148.189803,100,38.271697
75.091353,58,38.508988
117.409077,74,38.813895
92.344443,63,39.072654
57.901085,55,39.297076
104.769763,75,39.607007
102.048543,91,40.140105
86.982202,60,40.390264
109.893601,72,40.686779
68.57576,51,40.891881
74.970394,62,41.143614
82.152419,58,41.382204
135.70459,102,41.81075
97.035931,67,42.246569
218.255149,116,42.735677
84.527598,59,42.978185
85.030449,66,43.242021
110.713413,73,43.535828
75.381453,54,43.760539
105.83308,68,44.04028
89.471873,61,44.449769
146.527117,87,44.804334
138.299966,89,45.166812
113.721125,76,45.476491
124.684362,82,45.81086
111.624404,74,46.115374
70.92655,68,46.395235
81.183018,64,46.814195
35.693778,50,47.012218
76.035618,54,47.228488
127.32604,89,47.585162
99.486179,67,47.865595
75.025894,53,48.084629
119.012486,76,48.396467
74.072226,52,48.613969
78.044485,55,49.001548
27.437888,45,49.186991
100.621076,67,49.459321
79.141513,56,49.689228
68.36781,62,49.939391
129.453125,82,50.271537
65.82387,53,50.48708
60.35658,77,50.804843
70.448705,50,51.173082
138.139298,104,51.604605
95.473452,65,51.865554
185.365552,100,52.277276
151.809673,94,52.683236
88.332408,68,52.964139
167.626429,95,53.524666
68.069566,63,53.79113
94.880205,67,54.067218
83.555885,69,54.349916
119.796129,81,54.684865
141.650102,89,55.051605
164.601198,97,55.451414
80.543054,58,55.847986
158.140122,97,56.251765
83.37622,64,56.511611
116.372453,81,56.844771
99.79678,65,57.108864
59.694774,78,57.437993
145.604062,92,57.969535
56.128463,56,58.199379
87.278805,60,58.448756
152.261497,94,58.834219
79.331978,64,59.089992
72.721565,52,59.305125
103.028829,70,59.596676
64.507888,69,59.886926
154.041234,92,60.425184
73.209524,52,60.63847
152.191983,102,61.053582
138.805719,132,61.594702
183.781212,105,62.020341
68.681328,49,62.221059
167.646834,97,62.801053
75.687972,54,63.025067
191.922847,139,63.603445
124.550028,85,63.955044
113.02493,77,64.275281
73.020023,59,64.516142
100.923836,67,64.951859
135.309201,141,65.532499
135.576816,98,65.932416
83.073046,61,66.187375
104.922304,70,66.477295
78.870422,74,66.780586
88.308684,62,67.199111
166.006519,106,67.636779
63.585281,54,67.858807
176.12852,119,68.352856
105.252959,69,68.638144
140.659646,87,68.992932
170.059548,98,69.561568
90.202445,63,69.822241
87.966225,63,70.080748
60.318905,44,70.264234
74.308118,60,70.511196
96.202508,72,70.805292
152.167376,93,71.186724
142.367902,115,71.817899
127.173557,82,72.167818
145.02666,86,72.525659
156.914944,109,72.987363
95.070375,71,73.27921
80.89826,65,73.550179
132.023173,87,74.076225
97.777264,71,74.366671
63.76155,46,74.554626
81.393037,57,74.791598
120.050309,76,75.100495
114.566775,72,75.393349
89.596207,61,75.644964
164.948309,109,76.248898
123.019492,79,76.573302
76.508012,61,76.822457
86.285666,60,77.066593
114.106986,82,77.403103
61.239959,44,77.584006
81.506379,65,77.850852
102.442418,68,78.125024
102.117292,76,78.597732
90.222388,68,78.878379
58.536101,69,79.160062
67.902377,55,79.386349
105.841515,88,79.751307
131.62352,98,80.155229
85.098467,59,80.39492
87.466634,60,80.804414
156.202668,147,81.403978
121.77358,88,81.762886
94.421062,64,82.030491
119.050364,84,82.374
103.118053,73,82.679755
175.692687,98,83.248582
183.303823,137,83.804727
101.594808,66,84.077303
118.339647,82,84.416765
133.20955,86,84.768202
97.786885,66,85.039949
88.786339,61,85.446881
107.821265,73,85.751597
148.225469,94,86.143634
67.39984,48,86.344699
150.824814,95,86.736813
153.660451,93,87.122127
109.808416,71,87.570224
107.406147,81,87.905403
93.106275,64,88.16745
65.007751,47,88.364594
64.213741,46,88.551969
93.143019,71,88.840553
59.903961,43,89.020602
174.814951,103,89.44982
112.979354,76,89.928064
100.178607,82,90.267507
76.651457,53,90.485557
122.829814,77,90.795399
99.942482,71,91.090272
92.271692,68,91.368782
95.381822,79,91.698087
103.066853,74,92.166411
98.029049,66,92.440586
126.055256,79,92.780297
120.65885,78,93.103573
82.396152,57,93.337654
108.126753,70,93.625438
146.77174,87,93.988527
190.103086,147,94.739679
112.734705,73,95.029547
155.117607,92,95.409737
87.440364,60,95.649902
88.463134,63,95.903953
77.732636,62,96.151847
116.49417,75,96.613033
83.548934,59,96.85488
88.172849,62,97.115575
216.142133,116,97.584997
157.22531,88,97.947679
123.087959,81,98.276619
71.88638,58,98.514774
130.736241,85,99.020854
76.973181,62,99.270692
105.828913,77,99.585664
99.716002,67,99.855836
165.955868,122,100.342556
127.034354,78,100.656258
98.806729,73,101.107647
127.978824,82,101.436668
138.029985,83,101.76694
97.740091,72,102.060979
90.518333,62,102.313242
76.866922,72,102.60928
81.180479,63,102.874657
54.465883,59,103.271391
146.2574,86,103.618728
90.079024,73,103.918248
92.675514,77,104.229214
98.307757,73,104.523604
139.776895,84,104.865395
145.317114,96,105.262059
157.034976,94,105.805956
78.483152,61,106.055583
137.852659,84,106.398045
