#{"t_start": 1545676628.526819, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
30.938175,33,0.497545
54.383004,48,0.696459
30.814204,40,0.858358
33.518545,34,0.999538
29.723945,32,1.131907
23.285616,28,1.24852
28.041578,30,1.372966
24.984068,28,1.488591
32.288782,47,1.686145
25.030324,30,1.815267
39.17426,43,2.007251
31.260741,33,2.140464
32.484523,38,2.294979
27.084841,34,2.435196
51.952233,53,2.955771
22.310927,27,3.065401
25.322693,31,3.191543
29.670925,48,3.389632
31.13264,33,3.526176
30.069978,32,3.657531
28.580508,32,3.788546
31.977366,48,3.986081
24.222329,30,4.108267
34.2121,42,4.280452
37.522916,42,4.450663
28.948074,51,4.656317
31.421056,35,4.799402
27.403122,34,5.097632
26.548892,31,5.222108
30.446422,37,5.372651
40.430957,41,5.539099
24.267042,30,5.657964
61.711811,58,5.893057
56.584253,49,6.095601
37.551541,39,6.253939
37.702082,49,6.455147
40.512641,57,6.68602
29.85382,33,6.818025
29.091622,34,6.957969
32.560926,32,7.091545
25.978721,30,7.373843
35.555014,35,7.518712
48.523097,52,7.735642
86.633069,66,8.0078
32.516199,34,8.148035
87.226228,61,8.399058
39.482839,40,8.563147
39.039247,39,8.725697
40.346366,42,8.899597
26.948099,32,9.030459
30.8314,34,9.17238
36.420144,38,9.328457
58.337704,57,9.722848
66.720337,55,9.949592
37.936141,40,10.118168
34.242908,37,10.268992
61.0238,68,10.552912
25.931268,28,10.665909
36.98215,36,10.816888
153.12125,99,11.229886
34.600652,38,11.385148
67.637476,53,11.605317
146.567524,89,12.142268
34.520448,38,12.300736
61.840405,45,12.484082
84.712729,59,12.728375
39.391152,44,12.909142
139.105764,118,13.394149
94.225234,71,13.69325
109.011117,87,14.220077
77.271619,58,14.458013
74.885742,55,14.682023
111.873188,81,15.014327
100.523387,67,15.2927
90.921974,61,15.549282
52.689881,46,15.740402
32.621297,33,15.875929
74.499188,63,16.131396
69.520548,50,16.498814
89.722975,62,16.754445
79.31166,59,16.996553
52.64351,46,17.182627
63.386024,45,17.369116
120.880703,74,17.6726
100.148295,69,17.958499
66.110293,47,18.147961
206.815655,119,18.797231
124.93748,78,19.114951
67.230711,48,19.309586
67.163003,55,19.536049
61.281762,44,19.716727
84.573326,59,19.967582
78.97737,55,20.192119
98.565784,65,20.462186
77.55798,58,20.698051
153.290945,91,21.235373
83.394692,59,21.47363
134.689326,84,21.818748
93.743196,64,22.092458
92.771766,64,22.352168
62.193236,45,22.5374
70.497498,50,22.742347
42.30944,40,22.91375
74.755196,51,23.285731
101.241264,70,23.568339
152.559745,92,23.946722
114.544383,77,24.26079
79.693588,55,24.484075
76.794398,56,24.71012
104.328328,73,25.005442
75.10614,52,25.213606
93.277563,67,25.653629
77.32095,55,25.881915
89.9907,62,26.13306
107.987609,72,26.428506
65.708967,47,26.618243
63.955896,75,26.927313
67.50891,48,27.125121
126.473184,78,27.443744
31.520152,50,27.80933
82.978657,61,28.058956
114.152421,78,28.376681
65.554756,47,28.567223
90.679187,65,28.831685
80.265441,57,29.061056
68.623439,51,29.269647
81.384052,57,29.500501
78.577792,55,29.725729
57.363087,42,30.062641
69.180024,49,30.259513
75.744618,56,30.489903
117.670903,75,30.795165
90.540697,64,31.063829
138.595154,86,31.417397
99.508227,67,31.683932
66.546501,52,31.910877
38.837811,53,32.293039
131.908686,110,32.75569
116.941399,104,33.190667
68.420538,48,33.390127
77.496085,54,33.607761
83.575463,66,33.88176
53.942132,54,34.105597
81.940677,66,34.538914
84.664553,59,34.775117
95.015199,64,35.039643
46.420738,48,35.236414
71.854947,51,35.445188
66.46404,53,35.66704
