#{"t_start": 1545676625.4221556, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
24.125136,29,3.584251
39.808525,41,3.753785
29.548563,30,3.878066
26.826803,38,4.03403
28.029418,39,4.194211
36.392738,40,4.361634
26.250089,39,4.522424
78.469741,65,4.794037
40.838372,49,5.012519
24.002027,28,5.130633
33.190307,39,5.288074
60.597853,52,5.501932
40.72996,59,6.045367
49.568917,50,6.250986
25.159946,30,6.374096
21.848751,39,6.534901
30.681901,35,6.679169
26.474695,36,6.827435
26.62297,29,6.946119
23.904484,31,7.073696
25.857147,33,7.207691
31.619746,35,7.352429
28.570459,30,7.473768
47.739995,59,7.711576
25.381415,41,7.879099
31.298378,32,8.169635
30.435865,40,8.33034
40.580719,48,8.524749
37.462328,36,8.671491
86.183094,80,8.992646
32.190345,32,9.124632
27.222096,29,9.244035
40.08919,51,9.453781
34.958418,38,9.607857
111.295895,82,9.938588
36.256805,39,10.09818
29.46945,34,10.400786
82.728256,58,10.63841
26.350197,30,10.761757
29.170658,34,10.905804
33.86476,37,11.05846
28.569031,37,11.210066
34.223789,35,11.355279
28.093763,31,11.481653
111.991744,88,11.845759
43.416216,42,12.020468
30.860234,40,12.184285
31.395364,38,12.341342
26.734774,28,12.457941
33.073701,36,12.766787
71.498295,56,12.99762
28.627222,31,13.125495
83.714021,59,13.368522
30.072815,31,13.500703
42.592607,51,13.708684
34.653031,35,13.855874
96.548865,73,14.160554
42.840647,41,14.32915
43.905502,50,14.534114
54.125838,48,14.735332
35.566182,37,15.05628
46.2748,51,15.266732
186.606163,104,15.697448
60.041376,43,15.87376
83.740694,64,16.135156
91.906055,68,16.415072
36.827291,34,16.557393
64.182612,59,16.805745
59.572676,52,17.025656
69.624504,53,17.40732
69.550175,57,17.639595
33.128044,36,17.78576
121.24047,89,18.151276
27.228255,29,18.270553
123.872662,78,18.599432
86.283604,60,18.848703
107.265529,78,19.167651
85.132792,58,19.566419
35.337428,41,19.733222
48.020831,43,19.912096
80.652566,60,20.157653
74.19572,53,20.373896
67.270954,73,20.671699
49.222166,52,20.887717
38.44275,40,21.054644
64.893275,54,21.272711
41.141573,38,21.428072
74.570193,58,21.827987
124.266411,86,22.177415
105.816169,74,22.480018
79.455388,55,22.706407
113.548264,78,23.03518
34.771274,49,23.234572
78.281604,59,23.478501
174.995876,110,24.089957
96.659579,75,24.399038
106.133314,71,24.686742
136.088963,96,25.094115
250.992791,127,25.611983
128.27735,82,25.954405
112.73857,81,26.449955
93.606934,71,26.736431
67.611892,73,27.03796
59.581512,44,27.218346
53.466583,49,27.41814
106.551652,74,27.717708
111.500545,80,28.040271
92.490603,65,28.301865
90.738016,62,28.721337
67.546216,56,28.951915
80.925124,63,29.207674
64.065465,47,29.401497
74.342034,53,29.617042
36.704544,52,29.831789
77.162948,54,30.051841
63.251683,46,30.241956
152.55962,89,30.603954
100.405838,89,31.130276
93.916382,63,31.387298
100.838101,67,31.659292
232.841447,118,32.1374
104.163479,71,32.426112
75.224915,62,32.677779
67.935804,49,32.880328
136.546535,81,33.371299
172.169107,104,33.795452
75.84053,63,34.058355
58.462849,50,34.268152
82.577363,65,34.534044
111.983988,75,34.832928
87.450121,59,35.090234
102.577283,78,35.573381
111.21978,76,35.896459
143.265499,91,36.277377
133.872016,91,36.651542
79.708185,58,36.891363
64.764395,46,37.080456
100.268904,74,37.386013
50.704984,51,37.754633
59.84945,44,37.934177
101.625712,70,38.219777
69.129074,50,38.426809
65.201023,47,38.622732
78.312662,55,38.849764
49.196544,41,39.015129
75.434825,52,39.227376
39.680978,37,39.38183
202.184523,146,40.142159
33.060369,57,40.373562
82.385412,63,40.631224
67.829595,49,40.831831
92.283149,67,41.107888
84.658528,58,41.345959
93.218299,107,41.783949
62.604751,45,41.971981
75.924186,54,42.353996
130.435041,95,42.746421
64.124889,46,42.935449
83.61425,58,43.170201
104.876914,79,43.490368
98.365177,71,43.784568
77.944129,55,44.01754
91.529512,69,44.463835
70.707679,51,44.670725
102.786869,80,45.008503
95.491955,68,45.292437
90.35003,69,45.56843
119.030728,82,45.89816
166.538162,103,46.325882
71.854653,62,46.739689
161.636895,93,47.118906
99.69738,75,47.425171
168.256572,98,47.822926
74.082842,53,48.03954
85.467024,59,48.283368
92.782861,78,48.602633
