#{"t_start": 1545738432.9173627, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
7.226893,12,18.714369
55.901186,36,18.86679
11.410206,14,18.924544
24.192003,26,19.031233
15.244472,20,19.112113
10.532415,24,19.211066
6.572674,15,19.273989
24.178891,41,19.448833
9.108102,12,19.503108
16.378471,30,19.632539
9.874905,12,19.682873
4.881022,8,19.716403
14.154634,31,19.858738
15.64756,22,19.953248
49.772537,38,20.117537
5.523553,11,20.163508
8.57098,15,20.229297
18.391131,25,20.337948
9.326016,12,20.386525
2.490742,20,20.468626
7.534205,10,20.511225
14.839953,24,20.61081
14.118248,29,20.730945
6.836215,10,20.773049
10.208492,15,20.836622
21.372787,32,42.117096
8.692011,14,42.176541
7.807161,16,42.243022
5.878335,8,42.277848
25.413876,31,42.408944
37.174453,40,42.579729
7.268122,17,42.650949
6.634992,11,42.695912
9.528581,16,42.761911
10.860862,13,42.813768
37.70777,29,42.934304
10.571236,14,42.990652
9.572095,26,43.097721
6.37301,12,43.14664
8.00181,24,43.246208
127.969404,79,43.571871
5.249168,8,43.60692
9.101854,14,43.666392
8.988867,14,43.722396
82.728416,56,43.95276
24.351524,24,44.051823
4.854307,9,44.089009
7.269666,12,50.627438
14.213333,15,50.689805
16.771828,21,50.773352
26.840602,25,50.874166
15.99309,18,50.947166
7.259881,12,50.996767
23.727669,39,51.160424
21.13577,18,51.233504
82.197217,63,51.490629
8.540515,18,51.565171
143.049467,80,51.900933
55.460065,36,52.056166
61.332627,50,52.269216
14.699561,15,52.333386
22.273212,21,52.421808
8.42752,11,52.467093
52.774396,45,52.659413
160.943639,81,59.563157
53.139481,40,59.733105
6.513956,10,59.777509
86.21634,59,60.023207
18.927602,22,60.115401
7.082958,14,60.177689
93.139305,55,60.406296
37.209482,29,60.529393
17.086135,18,60.606381
26.622391,36,60.754819
70.858138,44,60.933714
12.341138,13,60.987095
66.951646,40,61.152941
78.455485,65,61.425313
60.620883,36,68.129028
212.768624,125,68.649798
51.705199,31,68.77721
136.717851,67,69.050089
51.839661,32,69.183398
56.450333,37,69.33771
221.480627,102,69.773295
169.484172,98,76.681198
133.935239,71,76.981917
100.010181,57,77.216129
185.886857,90,77.586917
145.222386,70,77.878824
123.854617,64,78.141275
207.710072,94,78.533741
64.988832,39,78.695023
74.591805,44,85.403361
184.815628,83,85.734097
212.844091,92,86.106979
240.250011,107,86.540925
85.536109,49,86.7448
129.245326,66,87.019383
52.888575,32,87.153196
64.923915,39,87.314942
204.244305,93,94.433142
106.14217,58,94.669463
78.026078,47,94.872796
84.708449,49,95.078093
207.097185,98,95.482836
220.298389,101,95.916721
82.102521,48,96.117643
89.394605,52,102.902189
59.054776,36,103.054861
61.463731,37,103.20209
188.48671,89,103.567317
180.626625,82,103.908469
194.995109,92,104.282839
190.91155,90,104.658921
223.776542,102,111.635552
211.930105,92,112.002494
206.709462,92,112.370785
196.090092,87,112.721243
213.93434,96,113.118454
200.378324,89,113.472767
209.798982,94,120.432787
203.108986,89,120.791191
227.361958,106,121.230561
141.217444,71,121.517844
196.345588,87,121.868075
65.682541,40,122.038086
209.600816,101,129.080504
69.738567,42,129.246086
187.625546,85,129.612201
219.357294,98,130.025855
189.711114,91,130.39192
193.734699,87,130.74376
184.949051,84,137.617102
197.912072,94,138.002201
195.719741,87,138.362726
185.816754,87,138.720454
201.890649,90,139.079618
223.412869,99,139.485247
190.675976,88,146.41284
184.411377,84,146.754691
207.597708,95,147.139159
205.24353,92,147.514697
215.425309,95,147.9165
205.76783,91,154.819312
181.368728,85,155.162187
205.683683,93,155.540477
195.824614,91,155.910514
204.143574,91,156.284005
190.868809,90,156.654498
211.732815,96,163.728387
178.334113,84,164.066332
92.926394,53,164.28253
207.262927,99,164.687013
187.409136,89,165.048628
194.496123,87,165.40135
199.617988,94,172.350744
208.585964,92,172.729257
206.606708,92,173.107149
189.041413,87,173.458438
196.74941,89,173.82177
51.028699,31,173.952393
186.549147,89,180.885333
218.851785,97,181.274482
180.164471,82,181.608855
214.136576,97,182.006325
78.30153,47,182.20549
239.590541,108,182.655279
206.149856,94,189.556757
207.600505,96,189.946244
204.542109,93,190.322951
152.296979,74,190.627085
211.055928,93,191.011887
216.36031,97,191.415691
47.682387,29,191.531536
230.767973,100,198.522977
221.21844,99,198.92416
268.941114,110,199.369681
206.39686,92,199.771529
199.125118,88,200.17416
244.365507,110,207.63162
259.860075,120,208.142126
286.225173,115,208.610369
222.224053,98,209.014425
266.012443,115,216.121781
315.793051,122,216.625822
241.182226,104,217.043221
182.621889,84,217.383082
245.819518,104,217.797486
210.132424,93,224.682448
223.216492,97,225.073081
219.908731,96,225.463279
237.970721,103,225.876949
216.798578,93,226.255816
214.309575,94,226.63606
220.470634,98,233.584405
308.541329,119,234.071564
220.510071,101,234.478025
275.169169,115,234.955469
231.36607,101,235.35764
215.803127,93,242.253279
57.745772,35,242.397685
196.811727,88,242.749522
194.903575,87,243.098537
218.360819,95,243.487968
248.753481,109,243.932756
217.325952,95,251.078262
225.378304,97,251.578111
