#{"t_start": 1545675248.8304484, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
89.051978,65,3.450823
34.499681,42,3.620613
15.858082,21,3.703892
37.19516,30,3.827633
17.764261,19,3.907594
18.765538,24,4.006412
17.618552,18,4.078479
16.61605,21,4.164488
11.993194,20,4.246639
19.815234,22,4.334735
21.11468,27,4.443408
49.75221,43,4.62215
15.201055,19,4.699189
14.4603,18,4.772451
12.368213,20,4.854759
29.272015,35,4.999552
16.09853,18,5.072691
24.24623,26,5.176101
18.237182,23,5.270654
20.521127,26,5.683351
17.52513,19,5.760911
19.853276,24,5.858049
21.404044,20,5.938834
23.874436,28,6.050372
16.168319,20,6.132271
13.600676,34,6.269807
28.928996,26,6.374824
20.495177,40,6.539747
29.604322,32,6.667654
27.153026,29,6.787446
15.324744,23,6.883871
20.479264,27,6.997637
23.62433,35,7.138204
34.617139,36,7.284358
44.083335,42,7.456494
41.297386,39,7.614638
21.789232,26,7.878942
23.739732,28,7.991296
30.746682,30,8.110345
22.709991,28,8.22641
27.75579,27,8.33477
28.001407,30,8.457293
25.184212,38,8.614097
55.407835,44,8.793567
35.05204,34,8.931163
29.529272,36,9.076799
14.768541,30,9.198874
53.463454,45,9.381168
25.642745,31,9.508779
36.015049,38,9.672966
21.117916,28,9.78686
22.708008,41,10.115309
27.572615,41,10.277788
53.286963,47,10.469291
26.005483,27,10.579128
19.166039,19,10.657804
16.813822,31,10.783236
17.146219,19,10.860304
37.452446,34,10.999935
16.977248,21,11.087508
73.545388,60,11.330986
97.094737,66,11.60504
22.24478,29,11.723555
19.707366,34,11.862369
27.575631,36,12.009022
49.54491,40,12.331038
132.979311,79,12.648144
122.664917,75,12.955741
77.226975,48,13.154045
54.132416,35,13.294232
81.950345,71,13.588783
82.524165,57,13.823196
65.827512,68,14.102161
66.438128,47,14.289946
30.91972,34,14.592065
68.127883,48,14.783103
29.006176,44,14.962011
29.902898,37,15.110108
48.75081,52,15.319664
50.196381,33,15.452658
84.378307,52,15.663337
20.230227,23,15.75401
64.418949,43,15.931502
72.516806,50,16.134853
84.702,58,16.37441
76.782276,56,16.601766
