#{"t_start": 1545680801.4774363, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
63.471894,65,2.494614
55.114946,59,2.740908
56.601549,61,2.989
68.681645,67,3.268078
72.309637,76,3.58917
69.169237,73,3.891358
64.08538,64,4.153183
53.125372,58,4.700979
67.909242,70,4.983109
66.392318,67,5.268797
68.206161,68,5.553275
55.473306,59,5.802904
58.738374,66,6.072644
57.110318,62,6.329185
53.592394,58,6.573293
70.306698,76,7.044651
85.639121,100,7.448825
66.527454,64,7.716624
64.824273,70,8.008882
71.55481,74,8.311516
58.460218,63,8.570531
76.878789,74,8.872768
64.530648,66,9.304781
54.109496,57,9.538262
59.616798,65,9.804399
91.088736,83,10.140896
62.638536,78,10.461086
101.923073,93,10.838812
65.111244,80,11.180648
52.910947,59,11.583277
83.651595,89,11.951084
55.129002,62,12.205041
53.504322,65,12.475625
84.87453,82,12.81331
53.232875,69,13.096918
61.27921,67,13.367849
70.172572,71,13.817904
63.163591,63,14.076629
64.040723,67,14.359365
61.779063,66,14.631383
64.015249,69,14.917448
63.809091,68,15.202616
85.10762,87,15.562907
53.792937,57,15.796345
72.368175,78,16.274085
53.095228,60,16.519711
77.585343,95,16.915562
62.954613,65,17.197377
65.370746,66,17.472124
72.87424,74,17.784751
57.014109,61,18.045676
79.684535,98,18.618528
55.168315,60,18.881279
192.100953,155,19.542731
61.215326,62,19.808354
121.785053,91,20.18536
64.752546,70,20.476335
57.017111,62,20.903592
71.304498,72,21.206001
70.223051,76,21.520887
93.336515,82,21.856619
64.701202,79,22.176482
111.498041,91,22.550003
57.229043,65,22.978275
67.755482,65,23.245583
58.92225,63,23.505697
97.810674,88,23.870645
60.92851,74,24.172604
60.641448,62,24.427627
150.126159,105,24.861659
110.483647,92,25.407724
65.737889,67,25.686678
71.014638,67,25.962946
60.640327,62,26.226069
55.369994,58,26.470018
93.856188,82,26.809865
60.502039,67,27.087088
113.616642,99,27.655828
67.242688,69,27.944386
136.033391,109,28.397163
133.240035,111,28.864021
60.507176,65,29.136301
56.354205,59,29.387292
60.990578,62,29.807233
67.318531,78,30.128356
58.434837,62,30.389405
60.424931,65,30.656051
58.822239,62,30.925054
65.173798,66,31.203253
59.278724,62,31.459742
60.46274,61,31.708325
67.49579,71,32.158449
55.413948,64,32.423881
79.253884,72,32.718368
59.493691,65,32.988249
62.321738,68,33.266611
85.280621,81,33.598854
79.353857,73,33.899833
65.161866,85,34.410603
72.629751,77,34.729869
61.568865,70,35.018997
129.547436,99,35.420058
65.489843,66,35.685015
82.454053,74,35.982645
70.491261,76,36.289537
77.416,71,36.740818
132.852079,95,37.132629
101.308109,82,37.462567
102.864062,96,37.852534
82.404682,74,38.157299
61.99112,61,38.405785
74.029198,70,38.691143
64.482276,72,39.145884
60.962608,62,39.400667
101.744448,91,39.778814
54.237636,59,40.028231
68.117439,70,40.317106
51.848284,60,40.564046
84.523732,76,40.881078
70.118357,68,41.338677
75.369646,73,41.642123
77.600101,75,41.952898
87.828004,80,42.283461
65.914853,76,42.596543
102.192926,84,42.947935
58.679489,60,43.197589
112.138103,87,43.720112
100.577881,100,44.134816
103.053764,85,44.486252
68.353013,73,44.791592
104.438135,82,45.132681
104.95489,85,45.488809
60.146801,61,45.905226
158.062055,125,46.421328
141.638056,107,46.856378
99.754939,85,47.202744
66.887035,74,47.513561
60.387993,61,47.766913
82.87599,78,48.252642
67.579635,73,48.556069
104.698776,91,48.932219
126.709068,104,49.358727
115.078272,113,49.824041
97.346262,82,50.33815
78.366743,78,50.659588
78.669935,75,50.985209
115.500048,93,51.375997
97.696336,81,51.717672
85.482349,87,52.079249
95.465233,92,52.625988
64.125482,62,52.880983
180.42923,125,53.398443
107.473578,112,53.863547
80.279495,85,54.211053
79.583243,74,54.515784
91.27818,102,55.098851
57.679199,61,55.351208
147.982757,108,55.796415
60.678735,84,56.133308
105.665869,110,56.587782
94.519918,104,57.176615
66.560971,75,57.484265
127.316069,95,57.871417
92.775912,100,58.280349
86.664958,89,58.647408
118.695079,91,59.027846
101.476677,80,59.523368
96.613657,83,59.863942
68.532654,80,60.20099
74.35191,97,60.607342
122.808638,94,61.010176
107.55744,105,61.436855
83.219786,82,61.934874
165.021482,117,62.4181
170.151476,138,62.980792
114.345358,88,63.345953
132.295199,97,63.744642
58.21849,60,64.15237
150.794613,104,64.579759
115.008744,90,64.948149
100.114558,117,65.433046
132.417268,106,65.868435
125.137999,94,66.413807
96.274539,76,66.725502
95.21486,103,67.151145
141.721615,107,67.588792
104.377637,102,68.010386
108.104961,88,68.536212
116.534481,90,68.907431
110.853985,86,69.26125
145.261564,102,69.679198
120.353563,92,70.055681
111.001334,87,70.410207
72.142108,77,70.887264
98.19597,107,71.345809
153.012297,115,71.822562
98.867156,97,72.221177
145.672783,110,72.67644
119.992596,116,73.324889
106.760087,86,73.686202
119.76146,94,74.074272
175.206502,140,74.657334
97.788265,109,75.11447
121.38594,95,75.667726
124.220423,115,76.15067
54.808362,60,76.398118
137.332623,110,76.855111
113.229045,91,77.233476
97.432852,80,77.731581
127.272118,97,78.127094
95.813193,77,78.441597
117.588237,88,78.818587
120.353167,99,79.231497
180.380577,130,79.779071
97.121473,107,80.378458
143.674683,124,80.898265
117.572154,93,81.290985
71.355472,79,81.626656
54.317747,81,81.971284
107.973615,83,82.481121
110.521045,88,82.849697
132.053633,98,83.255063
175.936497,132,83.804211
156.533674,136,84.365957
109.860922,88,84.891509
98.601837,80,85.222826
57.810646,82,85.563452
212.104426,144,86.157864
87.134502,93,86.548001
128.247684,97,87.112307
134.60984,120,87.608427
151.117132,108,88.05563
110.608456,89,88.418837
87.268009,84,88.765956
178.119548,125,89.447628
154.360694,119,89.936407
113.273766,115,90.409647
74.857818,100,90.820533
83.140581,100,91.404449
163.1388,127,91.924239
107.840157,88,92.29549
118.521873,121,92.800126
152.126361,105,93.237775
74.230265,84,93.751168
70.836646,76,94.064494
201.382322,146,94.665368
141.240882,114,95.13179
57.695667,62,95.390532
96.115713,77,95.707224
110.532768,105,96.30561
95.234993,76,96.623438
109.851926,91,96.999669
65.733334,76,97.317018
65.528404,90,97.695955
257.632638,153,98.492534
83.659307,82,98.83413
157.974352,116,99.311172
142.618881,114,99.790298
99.280457,80,100.121876
143.315994,110,100.745449
137.258066,103,101.18487
77.450904,103,101.613536
135.322815,97,102.01343
130.154818,99,102.422453
137.570591,121,103.089774
133.146142,106,103.533761
98.503821,78,103.858301
108.80826,110,104.318221
117.832018,94,104.706925
102.949398,81,105.199823
69.19439,74,105.507243
112.496553,90,105.879739
118.735413,96,106.273615
114.421069,91,106.652217
132.144651,112,107.119512
116.88709,110,107.73481
223.99722,138,108.30659
62.783168,91,108.680639
125.237276,111,109.141882
150.094011,107,109.740149
104.442582,83,110.084013
113.051604,86,110.44069
116.582568,90,110.815779
135.385979,103,111.256527
150.762343,115,111.742514
101.728643,83,112.248188
101.765204,81,112.582966
113.850836,112,113.041496
59.136795,63,113.304331
60.835917,89,113.675606
199.440697,130,114.378827
106.565836,86,114.736651
78.434027,101,115.156496
52.586144,77,115.474913
142.33691,117,115.956721
110.385501,89,116.32628
169.13429,118,116.982709
120.591669,94,117.370418
