#{"t_start": 1545673953.785014, "gym_version": "0.10.8", "env_id": "Hopper-v2"}
r,l,t
5.389134,19,2.999848
6.233147,8,3.031685
7.805418,15,3.093423
10.854028,27,3.202507
9.673666,17,3.270688
8.782326,20,3.351866
17.908843,24,3.44673
86.493848,49,3.636258
13.329153,23,3.726315
20.178684,17,3.794416
25.693076,21,3.876063
13.08418,14,3.931754
12.882751,30,4.049073
6.55228,10,4.089556
11.809655,20,4.169341
22.516349,27,4.277251
20.742306,22,4.365449
18.974137,17,4.433651
13.483458,16,4.496656
7.547514,10,4.538257
17.795977,18,4.608516
5.401218,23,4.700282
11.893587,13,4.754955
16.309519,17,4.8216
12.181413,32,4.947023
6.316919,8,5.678239
39.453181,43,5.849509
14.052289,17,5.917133
8.556869,11,5.96101
9.470643,12,6.011003
19.952625,21,6.097386
23.125644,27,6.205265
15.289259,18,6.277761
10.21454,21,6.361841
14.055077,15,6.42214
9.622813,14,6.477662
77.831404,52,6.686204
30.536122,30,6.805932
5.633692,10,6.844751
12.532571,15,6.904891
7.354371,16,6.969425
5.723096,8,7.002896
28.80363,24,7.100334
14.672494,20,7.180603
9.777577,16,7.243817
5.573062,10,7.284326
6.140394,9,7.320259
5.658986,27,7.428113
52.814305,44,7.60121
13.990606,16,7.663172
23.266215,46,8.002623
37.179699,55,8.218335
12.905797,18,8.289023
25.200155,29,8.40318
20.074395,27,8.511128
33.272415,38,8.659565
124.08435,98,9.051354
60.196363,36,9.193255
13.627872,17,9.260299
10.858733,13,9.31234
9.476737,17,9.379205
14.890948,14,9.435231
13.824375,15,9.494714
202.223583,120,10.136232
16.092894,25,10.234462
11.303606,13,10.28707
12.71434,27,10.396036
14.588171,42,10.569489
113.836991,66,10.837561
124.458467,72,11.120322
39.434377,68,11.386139
141.649994,74,11.671844
81.567986,46,11.850834
16.752486,26,11.951258
12.685286,16,12.013449
12.898303,16,12.078599
42.65641,45,12.409726
124.49097,88,12.75334
114.210597,66,13.010581
57.94254,34,13.144258
93.296,55,13.362004
233.639163,118,13.817829
49.130129,29,13.930732
60.937578,75,14.218614
122.447285,65,14.634358
212.050869,95,15.048277
162.239385,76,15.363139
214.175827,100,15.771265
77.022835,71,16.062632
167.039695,93,16.424318
221.60894,116,17.454372
211.899398,92,18.773968
215.896097,98,20.183311
114.65123,65,20.82398
84.377216,49,21.067527
214.975366,94,21.539124
190.60218,84,22.047472
187.158662,90,22.400904
204.443028,101,22.786211
198.382774,87,23.120724
200.002514,88,23.467352
229.448397,104,24.029853
226.546714,100,24.417367
196.571329,87,24.756374
195.017199,87,25.089767
201.777872,89,25.442233
185.427608,84,25.772051
202.825737,94,26.304963
214.136944,93,26.667145
221.373878,96,27.046024
58.783889,36,27.18696
223.658897,99,27.585203
190.971321,86,27.942775
230.117671,107,28.538621
243.316305,103,28.942469
214.09341,93,29.299089
144.620755,72,29.581059
193.554961,87,29.924545
208.094098,91,30.274949
206.503881,92,30.806506
220.103311,96,31.180749
242.456571,108,31.601071
212.8897,93,31.965046
226.121521,98,32.347702
289.239259,119,32.972255
278.466716,114,33.429345
277.979493,113,33.923759
247.118609,104,34.361813
211.168098,93,34.881741
287.729328,119,35.346632
264.163065,113,35.798879
308.481723,119,36.259511
320.058511,128,36.769534
279.751776,112,37.362319
277.142462,110,37.793763
314.786955,128,38.286181
318.235215,124,38.765241
282.782439,111,39.358451
286.362199,115,39.83804
299.767606,120,40.322438
323.466466,124,40.812998
308.332649,119,41.434875
331.409562,128,41.943543
309.356771,119,42.400215
280.235049,114,42.840263
343.559539,132,43.352144
318.250667,123,43.987854
296.246409,119,44.449256
